source_url,page_label,page_summary,reported_total,Date,Name,Rank,Nationality,Branch,Age,Country,Province,Where,Cause,State,City
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/25/2005,"Farnan, Colby M.",Private 1st Class,United States,U.S. Army,22,Iraq,Salah ad Din,Tarmiya (12 mi. North of Baghdad),Hostile - hostile fire - IED attack,Missouri,Weston
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/25/2005,"Henry, Chassan S.",Private 1st Class,United States,U.S. Army,20,Iraq,Anbar,Ramadi,Hostile - hostile fire - explosion,Florida,West Palm Beach
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/24/2005,"Palmatier, Jacob C.",Corporal,United States,U.S. Army,29,Iraq,Diyala,Muqdadiyah (near),Hostile - hostile fire - IED attack,Illinois,Springfield
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/24/2005,"Gresham, Daniel G.",Staff Sergeant,United States,U.S. Army,23,Iraq,Salah ad Din,Samarra (North of),Hostile - hostile fire - IED attack,Illinois,Lincoln
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/24/2005,"Crackel, Alexander B.",Staff Sergeant,United States,U.S. Army,31,Iraq,Anbar,Al Anbar Province,Hostile - hostile fire - small arms fire,Unknown,"Wilstead, nr. Bedford"
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/24/2005,"Deem, Michael S.",Specialist,United States,U.S. Army,35,Iraq,Baghdad,Baghdad,Non-hostile - illness - enlarged heart,Florida,Rockledge
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/23/2005,"Steffeney, Eric M.",Staff Sergeant,United States,U.S. Army,28,Iraq,Salah ad Din,Tuz Khurmatu (near),Hostile - hostile fire - IED attack,Iowa,Waterloo
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/23/2005,"Olivier, Nicholas J.",Sergeant,United States,U.S. Army National Guard,26,Iraq,Baghdad,Baghdad,Hostile - hostile fire - IED attack,Louisiana,Ruston
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/22/2005,"Aston, Trevor D.",Lance Corporal,United States,U.S. Marine Reserve,32,Iraq,Anbar,Haditha,Non-hostile - vehicle accident,Texas,Austin
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/21/2005,"Timmerman, Jason G.",1st Lieutenant,United States,U.S. Army National Guard,24,Iraq,Baghdad,Baghdad (southern part) (Dora),Hostile - hostile fire - IED attack,Minnesota,Cottonwood/Tracy
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/21/2005,"Day, David F.",Staff Sergeant,United States,U.S. Army National Guard,25,Iraq,Baghdad,Baghdad (southern part) (Dora),Hostile - hostile fire - IED attack,Minnesota,Saint Louis Park
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/21/2005,"Lhotka, Jesse M.",Sergeant,United States,U.S. Army National Guard,24,Iraq,Baghdad,Baghdad (southern part) (Dora),Hostile - hostile fire - IED attack,Minnesota,Alexandria
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,2/21/2005,"Olson, John T.",Corporal,United States,U.S. Marine,21,Iraq,Anbar,Al Anbar Province,Hostile - hostile fire,Illinois,Elk Grove Village
