source_url,page_label,page_summary,reported_total,Date,Name,Rank,Nationality,Branch,Age,Country,Province,Where,Cause,State,City
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/11/2010,"Caron, Joseph T.",Specialist,United States,U.S. Army,21,Afghanistan,Helmand,Char Bagh,Hostile - hostile fire - IED attack,Washington,Tacoma
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/9/2010,"Durkin, Sean M.",Sergeant,United States,U.S. Army,24,United States,Helmand,Walter Reed Army Medical Center,Hostile - hostile fire - IED attack,Colorado,Aurora
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/9/2010,"Voas, Randell D.",Major,United States,U.S. Air Force,43,Afghanistan,Zabul,Zabul,Non-hostile - helicopter crash,Minnesota,Lakeville
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/9/2010,"Lackey, James B.",Senior Master Sergeant,United States,U.S. Air Force,45,Afghanistan,Zabul,Zabul,Non-hostile - helicopter crash,Florida,Green Clove Springs
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/9/2010,"Jankiewicz, Michael D.",Corporal,United States,U.S. Army,23,Afghanistan,Zabul,Zabul,Non-hostile - helicopter crash,New Jersey,Ramsey
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/8/2010,"Hall, Jonathon D.",Private 1st Class,United States,U.S. Army,23,Germany,Paktika,"Landstuhl Reg. Med. Center, Landstuhl, Germany",Hostile - hostile fire - IED attack,Tennessee,Chattanooga
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/8/2010,"Borio, Roberto E. Diaz",Sergeant,United States,U.S. Army National Guard,47,Kenya,NA,Mombassa,Non-hostile,Puerto Rico,San Juan
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/8/2010,"Robert, Hutnik",légionnaire 1re classe,France,French Army,23,Afghanistan,Kapisa,Tagab Valley,Hostile - hostile fire,Unknown,Not yet reported
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/7/2010,"Burgess, Jonathan Antony",Fusilier,United Kingdom,British Army,20,Afghanistan,Helmand,Nad e-Ali district,Hostile - hostile fire - small arms fire,Unknown,Swansea
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/4/2010,"Turner, Mark",Rifleman,United Kingdom,British Army,21,Afghanistan,Helmand,Forward Operating Base Zeebrugge,Hostile - hostile fire - IED attack,Unknown,Gateshead
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/2/2010,"Hartert, Robert",Stabsgefreiter (staff corporal),Germany,German Army,25,Afghanistan,Kunduz,Char Darrah,"Hostile - hostile fire - small arms fire, rpg",Unknown,Freital
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/2/2010,"Augustyniak, Martin Kadir",Hauptgefreiter (senior corporal),Germany,German Army,28,Afghanistan,Kunduz,Char Darrah,"Hostile - hostile fire - small arms fire, rpg",Unknown,Bielefeld
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/2/2010,"Bruns, Nils",Hauptfeldwebel (Master Sergeant),Germany,German Army,35,Afghanistan,Kunduz,Char Darrah,"Hostile - hostile fire - small arms fire, rpg",Unknown,Stadtoldendorf
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/2/2010,"Swenson, Curtis M.",Lance Corporal,United States,U.S. Marine,20,Afghanistan,Helmand,Helmand,Hostile - hostile fire,Minnesota,Rochester
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/1/2010,"Sweeney, Michael",Not yet reported,United Kingdom,British Army,19,Afghanistan,Helmand,Babaji District,Hostile - hostile fire - IED attack,Unknown,"Blyth, Northumberland"
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/1/2010,"Griffin, Tyler O.",Lance Corporal,United States,U.S. Marine,19,Afghanistan,Helmand,Marjah,Hostile - hostile fire - IED attack,Connecticut,Voluntown
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,4/1/2010,"World, Frank J.A.",Sergeant,United States,U.S. Marine,25,Afghanistan,Helmand,Marjah,Hostile - hostile fire - IED attack,New York,Buffalo
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/31/2010,"Zilberman, Miroslav",Lieutenant,United States,U.S. Navy,31,Arabian Gulf,NA,Arabian Gulf,Non-hostile - aircraft crash,Ohio,Columbus
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/30/2010,"Brunkhorst, Scott W.",Staff Sergeant,United States,U.S. Army,25,Afghanistan,Kandahar,Arghandab River Valley,Hostile - hostile fire - IED attack,North Carolina,Fayetteville
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/29/2010,"Miller, James L.",Private 1st Class,United States,U.S. Army,21,Afghanistan,Southern Afghanistan,Dashat,Hostile - hostile fire - IED attack,Washington,Yakima
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/28/2010,"Heck, Randy M.",Lance Corporal,United States,U.S. Marine,20,Djibouti,NA,Djibouti,Non-hostile,Ohio,Steubenville
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/27/2010,"Holkham, Daniel",Rifleman,United Kingdom,British Army,19,Afghanistan,Helmand,Sangin,Hostile - hostile fire - grenade attack,Unknown,Chatham
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/26/2010,"Woodgate, Jonathan",Lance Corporal of Horse,United Kingdom,British Army,27,Afghanistan,Helmand,Sangin,Hostile - hostile fire - suicide bomber,Unknown,"Bury St Edmunds, Suffolk"
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/24/2010,"Centanni, Rick. J.",Lance Corporal,United States,U.S. Marine,19,Afghanistan,Helmand,Marjah,Hostile - hostile fire - IED attack,California,Yorba Linda
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/24/2010,"Cottle, Robert. J.",Sergeant Major,United States,U.S. Marine,45,Afghanistan,Helmand,Marjah,Hostile - hostile fire - IED attack,California,Whittier
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/24/2010,"Ross, Jacob A.",Lance Corporal,United States,U.S. Marine,19,Afghanistan,Helmand,Helmand,Hostile - hostile fire - small arms fire,Wyoming,Gillette
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/22/2010,"Santos-Silva, Carlos M.",Sergeant 1st Class,United States,U.S. Army,32,Afghanistan,Kandahar,Kandahar,Hostile - hostile fire - IED attack,Tennessee,Clarksville
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/22/2010,"Campbell, Steven",Serjeant,United Kingdom,British Army,30,Afghanistan,Helmand,Sangin,Hostile - hostile fire - IED attack,Unknown,"Pelton, County Durham"
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/22/2010,"Wilson, Justin J.",Lance Corporal,United States,U.S. Marine,24,Afghanistan,Helmand,Helmand,Hostile - hostile fire - IED attack,Florida,Palm City
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/20/2010,"Fitzpatrick, Darren James",Corporal,Canada,Canadian Army,21,Canada,Kandahar,"University of Alberta Hospital, Edmonton CA",Hostile - hostile fire - IED attack,Unknown,Prince George
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/18/2010,"Brown, Adam Lee",Chief Petty Officer,United States,U.S. Navy,36,Afghanistan,Afghanistan,Afghanistan,Hostile - hostile fire,Arkansas,Hot Springs
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/17/2010,"Clarkson, Joel D.",Sergeant,United States,U.S. Army,23,Germany,Helmand,"Landstuhl Reg. Med. Center, Landstuhl, Germany",Hostile - hostile fire - small arms fire,Alaska,Fairbanks
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/16/2010,"Gilbert II, Robert L.",Gunnery Sergeant,United States,U.S. Marine,28,Afghanistan,Badghis,"Bethesda, MD",Hostile - hostile fire - small arms fire,Ohio,Richfield
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/16/2010,"Hardy, Scott",Lance Corporal,United Kingdom,British Army,26,Afghanistan,Helmand,Musa Qaleh,Hostile - hostile fire - IED attack,Unknown,Chelmsford
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/16/2010,"Grigg, James",Private,United Kingdom,British Army,21,Afghanistan,Helmand,Musa Qaleh,Hostile - hostile fire - IED attack,Unknown,"Hartismere, Suffolk"
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/15/2010,"Driver, Martin",Captain,United Kingdom,British Army,31,Afghanistan,Helmand,"Selly Oak Hospital Birmingham, UK",Hostile - hostile fire - IED attack,Unknown,Barnsley
https://icasualties.org/App/AfghanFatalities,Afghanistan Fatalities,Afghanistan Fatalities Total: 3590,3590,3/12/2010,"Porto, Jonathan D.",Corporal,United States,U.S. Marine,26,Afghanistan,Helmand,Helmand,Non-hostile,Florida,Largo
