name_primary,artist_id,country_relevance_score,is_country_core,is_country_broad,source_seed,norm_name,hot_country_number_one,hot_country_number_one_matched_name,country_hall_of_fame,country_hall_of_fame_matched_name,billboard_best_country_singers,billboard_best_country_singers_matched_name,in_any_reference_list,reference_list_count,reference_list_hits
Ricky Van Shelton,artist_000065,0.95,1.0,1.0,Category:American country singer-songwriters,ricky van shelton,False,,False,,False,,False,0,
Julie Roberts,artist_000066,0.95,1.0,1.0,Category:American country singer-songwriters,julie roberts,False,,False,,False,,False,0,
Stonewall Jackson,artist_000067,0.95,1.0,1.0,Category:American country singer-songwriters,stonewall jackson,False,,False,,False,,False,0,
Crystal Bowersox,artist_000068,0.95,1.0,1.0,Category:American country singer-songwriters,crystal bowersox,False,,False,,False,,False,0,
Jeannie C. Riley,artist_000069,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,jeannie c riley,False,,False,,False,,False,0,
Gabby Barrett,artist_000070,0.95,1.0,1.0,Category:American country singer-songwriters,gabby barrett,False,,False,,False,,False,0,
Tracy Lawrence,artist_000071,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,tracy lawrence,False,,False,,False,,False,0,
Gary Allan,artist_000073,0.95,1.0,1.0,Category:American country singer-songwriters,gary allan,False,,False,,False,,False,0,
Easton Corbin,artist_000075,0.95,1.0,1.0,Category:American country singer-songwriters,easton corbin,False,,False,,False,,False,0,
Mindy McCready,artist_000076,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,mindy mccready,False,,False,,False,,False,0,
Boxcar Willie,artist_000077,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,boxcar willie,False,,False,,False,,False,0,
Tommy Collins,artist_000079,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee|Category:Country musicians from Oklahoma,tommy collins,False,,False,,False,,False,0,
Johnny Duncan,artist_000080,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,johnny duncan,False,,False,,False,,False,0,
Rhonda Vincent,artist_000081,0.95,1.0,1.0,Category:American country singer-songwriters,rhonda vincent,False,,False,,False,,False,0,
Jack Ingram,artist_000082,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,jack ingram,False,,False,,False,,False,0,
Ronnie Dove,artist_000083,0.95,1.0,1.0,Category:American country singer-songwriters,ronnie dove,False,,False,,False,,False,0,
Wanda Jackson,artist_000084,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Oklahoma,wanda jackson,False,,False,,False,,False,0,
Jordan Davis,artist_000085,0.95,1.0,1.0,Category:American country singer-songwriters,jordan davis,False,,False,,False,,False,0,
Neal McCoy,artist_000087,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,neal mccoy,False,,False,,False,,False,0,
Josh Gracin,artist_000088,0.95,1.0,1.0,Category:American country singer-songwriters,josh gracin,False,,False,,False,,False,0,
Judy Rodman,artist_000089,0.95,1.0,1.0,Category:American country singer-songwriters,judy rodman,False,,False,,False,,False,0,
Chris Knight,artist_000090,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Kentucky,chris knight,False,,False,,False,,False,0,
George Hamilton IV,artist_000091,0.95,1.0,1.0,Category:American country singer-songwriters,george hamilton iv,False,,False,,False,,False,0,
Danielle Bradbery,artist_000092,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,danielle bradbery,False,,False,,False,,False,0,
Rhett Akins,artist_000093,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,rhett akins,False,,False,,False,,False,0,
Lauren Alaina,artist_000094,0.95,1.0,1.0,Category:American country singer-songwriters,lauren alaina,False,,False,,False,,False,0,
Lee Brice,artist_000095,0.95,1.0,1.0,Category:American country singer-songwriters,lee brice,False,,False,,False,,False,0,
Pat Boone,artist_000096,0.95,1.0,1.0,Category:American country singer-songwriters,pat boone,False,,False,,False,,False,0,
Terry Allen,artist_000097,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,terry allen,False,,False,,False,,False,0,
Randy Houser,artist_000098,0.95,1.0,1.0,Category:American country singer-songwriters,randy houser,False,,False,,False,,False,0,
Jack Greene,artist_000099,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,jack greene,False,,False,,False,,False,0,
Jon Pardi,artist_000100,0.95,1.0,1.0,Category:American country singer-songwriters,jon pardi,False,,False,,False,,False,0,
Dylan Scott,artist_000101,0.95,1.0,1.0,Category:American country singer-songwriters,dylan scott,False,,False,,False,,False,0,
