artist_id,country_validation_label,country_validation_score,country_validation_score_text,country_positive_hits,country_negative_hits,country_validation_evidence,name_primary,birth_name,stage_name,aliases,wikidata_qid,musicbrainz_mbid,isni,viaf_id,wikipedia_url,birth_year,birth_city,birth_county,birth_state,birth_state_abbr,birth_country,death_date,death_year,death_place_raw,citizenship,occupations,genres_raw,genres_normalized,country_relevance_score,instruments,member_of,record_labels,awards,official_website,birth_decade,us_macro_region,is_deceased,age_or_age_at_death,is_us_born,is_solo_person,is_country_core,is_country_broad,flag_restricted_sample,flag_expanded_sample,sample_membership,inclusion_reason,exclusion_reason,source_primary,source_secondary,source_seed,evidence_urls,source_count,birth_date_confidence,birth_place_confidence,genre_confidence,manual_review_needed,notes,name_key,in_songfile,in_country_restricted,in_country_master,in_adjacent_seed_pool,source_membership_count,artist_name_songfile_example,adjacent_genre_bucket,adjacent_source_group,core_union_flag,birth_admin_labels,wikipedia_categories,wp_birth_place_raw,wp_birth_year,wp_birth_date,birth_date,birth_place_raw,birth_country_raw
artist_000085,review,0.95,10,3,1,+4:country ; +5:country music ; +3:country pop ; -2:pop,Jordan Davis,,,Jordan Carl Wheeler Davis,Q44274417,f3830a42-5c4c-4974-8ae0-bb19002629b0,0000000499447098,32153288332732651863,https://en.wikipedia.org/wiki/Jordan_Davis_(singer),1988.0,Shreveport,,Louisiana,LA,United States,,,,United States,singer|songwriter|singer-songwriter|guitarist|record producer,country pop|country music|pop music,country,0.95,voice|guitar,,MCA Records,,https://www.jordandavisofficial.com/,1980.0,South,0.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q44274417|https://en.wikipedia.org/wiki/Jordan_Davis_(singer)|https://musicbrainz.org/artist/f3830a42-5c4c-4974-8ae0-bb19002629b0,3.0,high,high,high,0.0,,jordan davis,1.0,1.0,1.0,0.0,3.0,Jordan Davis,,,1.0,,,,,,,,
artist_000096,review,0.95,4,2,2,+4:country ; +5:country music ; -3:rhythm and blues ; -2:pop,Pat Boone,,,Charles Eugene Boone|Pat Eugene Boone|Charles E. Boone|Charles Boone|Patrick Charles Eugene Boone,Q342778,52e94208-f7c8-4e07-97ed-d5edeb0cfe60,0000000084034304,100250899,https://en.wikipedia.org/wiki/Pat_Boone,1934.0,Jacksonville,Duval County,Florida,FL,United States,,,,United States,singer|singer-songwriter|composer|film actor|voice actor|actor|recording artist,pop music|estrada|gospel music|rhythm and blues|rock and roll|country music,country,0.95,voice,,Republic Records|Dot Records,Gospel Music Hall of Fame|star on Hollywood Walk of Fame,https://www.patboone.com/,1930.0,South,0.0,91.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q342778|https://en.wikipedia.org/wiki/Pat_Boone|https://musicbrainz.org/artist/52e94208-f7c8-4e07-97ed-d5edeb0cfe60,3.0,high,high,high,0.0,,pat boone,1.0,1.0,1.0,0.0,3.0,Pat Boone,,,1.0,,,,,,,,
artist_000108,review,0.95,7,2,1,+4:country ; +5:country music ; -2:pop,Brenda Lee,Brenda Mae Tarpley,Little Miss Dynamite,Brenda Mae Tarpley|Brenda Lee Shacklett|Brenda Tarpley|Brenda Mae Shacklett|Brenda Shacklett,Q230925,6ca4886a-8f77-4133-b404-46fb3908e24a,0000000114500514,84599498,https://en.wikipedia.org/wiki/Brenda_Lee,1944.0,Grady Memorial Hospital,Fulton County,Georgia,GA,United States,,,,United States,singer|songwriter,rock and roll|estrada|country music|pop music,country,0.95,voice,,Decca|Charly Records|MCA Records,Grammy Lifetime Achievement Award|Rock and Roll Hall of Fame,http://www.brendalee.com/,1940.0,South,0.0,81.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q230925|https://en.wikipedia.org/wiki/Brenda_Lee|https://musicbrainz.org/artist/6ca4886a-8f77-4133-b404-46fb3908e24a,3.0,high,high,high,0.0,,brenda lee,1.0,1.0,1.0,0.0,3.0,Brenda Lee,,,1.0,,,,,,,,
artist_000109,review,0.95,7,2,1,+4:country ; +5:country music ; -2:pop,Patti Page,Clara Ann Fowler,Patti Page,Clara Ann Fowler,Q175759,46bd1529-4301-4d10-9124-17d9e858034e,0000000081361043,56801571,https://en.wikipedia.org/wiki/Patti_Page,1927.0,Claremore,Rogers County,Oklahoma,OK,United States,2013-01-01,2013.0,Encinitas,United States,singer|singer-songwriter|recording artist,traditional pop|country music|folk music,country,0.95,voice,,Mercury Records|Columbia Records|Epic Records|Philips Records,Grammy Lifetime Achievement Award|star on Hollywood Walk of Fame|Oklahoma Music Hall of Fame,https://www.last.fm/music/Patti+Page/,1920.0,South,1.0,85.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters|Category:Country musicians from Oklahoma,https://www.wikidata.org/wiki/Q175759|https://en.wikipedia.org/wiki/Patti_Page|https://musicbrainz.org/artist/46bd1529-4301-4d10-9124-17d9e858034e,3.0,high,high,high,0.0,,patti page,1.0,1.0,1.0,0.0,3.0,Patti Page,,,1.0,,,,,,,,
artist_000116,review,0.95,6,2,1,+4:country ; +5:country music ; -3:new wave,Jim Lauderdale,James Russell Lauderdale,Jim Lauderdale,James Russell Lauderdale,Q1169621,563c84bf-b1e4-423e-b871-a46c68998d10,000000012141311X,79921968,https://en.wikipedia.org/wiki/Jim_Lauderdale,1957.0,Troutman,Iredell County,North Carolina,NC,United States,,,,United States,musician|singer|singer-songwriter,country music|new wave,country,0.95,voice|guitar,,New West Records,Grammy Awards|Americana Award for Artist of the Year,http://www.jimlauderdale.com/,1950.0,South,0.0,68.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q1169621|https://en.wikipedia.org/wiki/Jim_Lauderdale|https://musicbrainz.org/artist/563c84bf-b1e4-423e-b871-a46c68998d10,3.0,high,high,high,0.0,,jim lauderdale,1.0,1.0,1.0,0.0,3.0,Jim Lauderdale,,,1.0,,,,,,,,
artist_000132,review,0.95,5,2,1,+4:country ; +5:country music ; -4:hip-hop,Jelly Roll,Jason Bradley DeFord,,Jason Bradley DeFord|Jason DeFord|JellyRoll,Q6176881,ab5a7a60-1b71-4e5b-b622-e0ae2ce84c32,0000000458323355,81145541805196600457,https://en.wikipedia.org/wiki/Jelly_Roll_(singer),1984.0,Nashville,,Tennessee,TN,United States,,,,United States,songwriter|rapper|singer,Southern hip-hop|hardcore hip-hop|Southern rock|country music,country,0.95,voice|guitar,,,,https://jellyroll615.com,1980.0,Appalachia,0.0,41.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q6176881|https://en.wikipedia.org/wiki/Jelly_Roll_(singer)|https://musicbrainz.org/artist/ab5a7a60-1b71-4e5b-b622-e0ae2ce84c32,3.0,high,high,high,0.0,,jelly roll,1.0,1.0,1.0,0.0,3.0,Jelly Roll,,,1.0,,,,,,,,
artist_000136,review,0.95,13,4,1,+4:country ; +5:country music ; +3:country pop ; +3:country rock ; -2:pop,Carrie Underwood,Carrie Marie Underwood,,Carrie Marie Underwood,Q215546,70f0e309-5418-49b6-a130-666e2f76eecd,0000000114733764,59406000,https://en.wikipedia.org/wiki/Carrie_Underwood,1983.0,Muskogee,,Oklahoma,OK,United States,,,,United States,singer|actor|singer-songwriter|pianist|television actor|film actor|recording artist,pop music|country music|country pop|country rock,country,0.95,guitar|piano|voice,,19 Recordings|Arista Nashville|Arista Records|Capitol Records Nashville,Grammy Award for Best New Artist|Grammy Award for Best Country Solo Performance|star on Hollywood Walk of Fame|American Music Award for Favorite Country Female Artist|American Music Award for Artist of the Year|American Music Award for New Arti,https://www.carrieunderwoodofficial.com,1980.0,South,0.0,43.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters|Category:Country musicians from Oklahoma,https://www.wikidata.org/wiki/Q215546|https://en.wikipedia.org/wiki/Carrie_Underwood|https://musicbrainz.org/artist/70f0e309-5418-49b6-a130-666e2f76eecd,3.0,high,high,high,0.0,,carrie underwood,1.0,1.0,1.0,0.0,3.0,Carrie Underwood,,,1.0,,,,,,,,
artist_000138,review,0.95,10,3,1,+4:country ; +5:country music ; +3:country pop ; -2:pop,Jennette McCurdy,Jennette Michelle Faye McCurdy,,Jennette Michelle Faye McCurdy,Q4473,7f56716c-803a-4901-bf09-42f1d72f454f,0000000114808703,121062513,https://en.wikipedia.org/wiki/Jennette_McCurdy,1992.0,Long Beach,Los Angeles County,California,CA,United States,,,,United States,actor|singer-songwriter|singer|voice actor|screenwriter|television actor|film actor|columnist|writer|director|film director,pop music|country music|country pop|folk music,country,0.95,voice,,Capitol Records Nashville|Capitol Records,,https://www.jennettemccurdy.com/,1990.0,West,0.0,33.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q4473|https://en.wikipedia.org/wiki/Jennette_McCurdy|https://musicbrainz.org/artist/7f56716c-803a-4901-bf09-42f1d72f454f,3.0,high,high,high,0.0,,jennette mccurdy,1.0,1.0,1.0,0.0,3.0,Jennette McCurdy,,,1.0,,,,,,,,
artist_000139,review,0.95,7,2,1,+4:country ; +5:country music ; -2:pop,LeAnn Rimes,Margaret LeAnn Rimes,LeAnn Rimes,Margaret LeAnn Rimes|Margaret LeAnn Rimes Cibrian|LeAnn Rimes Cibrian,Q120533,9092d8e1-9b38-4372-a96d-000b8561a8bc,0000000114700727,29731266,https://en.wikipedia.org/wiki/LeAnn_Rimes,1982.0,Jackson,Hinds County,Mississippi,MS,United States,,,,United States,singer|actor|songwriter,pop music|country music|folk music,country,0.95,voice,,Curb Records,Grammy Award for Best New Artist,http://www.leannrimesworld.com,1980.0,South,0.0,43.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters|Category:Country musicians from Texas,https://www.wikidata.org/wiki/Q120533|https://en.wikipedia.org/wiki/LeAnn_Rimes|https://musicbrainz.org/artist/9092d8e1-9b38-4372-a96d-000b8561a8bc,3.0,high,high,high,0.0,,leann rimes,1.0,1.0,1.0,0.0,3.0,LeAnn Rimes,,,1.0,,,,,,,,
artist_000142,review,0.95,7,2,1,+4:country ; +5:country music ; -2:pop,Nicolette Larson,,,,Q455344,a45071c0-1805-4ec6-83c4-e3f62e2916b1,0000000106548251,69118711,https://en.wikipedia.org/wiki/Nicolette_Larson,1952.0,Helena,Lewis and Clark County,Montana,MT,United States,1997-12-16,1997.0,Los Angeles,United States,singer|songwriter|composer|guitarist|actor|musician,pop music|country music|folk music,country,0.95,voice,The Bullets,Warner Bros. Records,,http://www.nicolettelarson.com/,1950.0,West,1.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q455344|https://en.wikipedia.org/wiki/Nicolette_Larson|https://musicbrainz.org/artist/a45071c0-1805-4ec6-83c4-e3f62e2916b1,3.0,high,high,high,0.0,,nicolette larson,1.0,1.0,1.0,0.0,3.0,Nicolette Larson,,,1.0,,,,,,,,
