macro_region_clean,n_tabs,n_artists,birth_year,release_year,artist_age_at_release,complexity,repetition,energy,playability,harmonic_palette,structure_variation,share_billboard_year_end
South,16211,385,1955.421700989237,2000.447597310468,45.027313,.1105893477051846,.9058541573160771,.6824673598071831,.8894106522948195,.575749161884761,.606839979981216,.0420085127382641
Appalachia,4344,148,1965.343853038154,2002.384438305709,37.168865,.1058444956016955,.9151789396057145,.6819667819975187,.8941555043983055,.5403906669736801,.6842428428889417,.0633057090239411
Midwest,2320,101,1960.000431034483,2000.631465517241,40.631035,.1069902266663481,.9097310664038564,.6847693741837735,.8930097733336548,.5767887931034472,.6550526819923385,.0336206896551724
Unknown,1865,115,1971.529575504523,2008.852010723861,36.120388,.0827673785006246,.922866408200595,.690189436521792,.9172326214993768,.5755495978552249,.7443103961870714,.0498659517426273
West,1653,68,1956.204007285975,1999.711433756806,43.556164,.1118304304600905,.9008649784249007,.6843999071285314,.8881695695399117,.5883343416011246,.6206728507091472,.0266182698124622
Northeast,649,32,1959.6921875,2003.613251155624,43.910938,.0944655649882836,.9109232530826217,.6778616885835983,.9055344350117164,.6004879301489476,.7040318438623516,.0169491525423729
