variable,p_value,n_obs,n_groups
complexity,2.92845121264e-33,27037,6
repetition,5.79267561844e-66,27037,6
playability,2.92845121264e-33,27037,6
harmonic_palette,2.80944401744e-14,27037,6
structure_variation,1.76898348020e-43,27037,6
billboard_country_year_end_flag,1.10036058429e-15,27042,6
