wikipedia_url,wpl_birth_date,wpl_birth_year,wpl_birth_place_raw
https://en.wikipedia.org/wiki/Johnny_Tyler,,,
https://en.wikipedia.org/wiki/Kelsea_Ballerini,,1993.0,
https://en.wikipedia.org/wiki/Lari_White,,,
https://en.wikipedia.org/wiki/Lee_Roy_Parnell,1956-12-21,1956.0,
https://en.wikipedia.org/wiki/Luke_McDaniel,,,
https://en.wikipedia.org/wiki/Malcolm_Yelvington,,,
https://en.wikipedia.org/wiki/Mark_Wills,1973-08-08,1973.0,
https://en.wikipedia.org/wiki/Sam_Neely,,,
https://en.wikipedia.org/wiki/Skeeter_Bonn,,,
https://en.wikipedia.org/wiki/Slaid_Cleaves,1964-06-09,1964.0,
https://en.wikipedia.org/wiki/Stephen_Yerkey,1950-12-15,1950.0,
https://en.wikipedia.org/wiki/Warner_Mack,,,
https://en.wikipedia.org/wiki/A._P._Carter,,,
"https://en.wikipedia.org/wiki/Arthur_""Guitar_Boogie""_Smith",,,
https://en.wikipedia.org/wiki/Barrett_Baber,1980-05-18,1980.0,
https://en.wikipedia.org/wiki/Bill_Dees,,,
https://en.wikipedia.org/wiki/David_Garcia_(musician),1983-01-18,1983.0,
https://en.wikipedia.org/wiki/Glen_Sherley,,,
https://en.wikipedia.org/wiki/Helen_Carter,,,
https://en.wikipedia.org/wiki/Henry_Whitter,,,
https://en.wikipedia.org/wiki/Hillary_Lindsey,1977-08-11,1977.0,
https://en.wikipedia.org/wiki/K._T._Oslin,,,
https://en.wikipedia.org/wiki/Mark_Chesnutt,,1963.0,
https://en.wikipedia.org/wiki/Michael_Martin_Murphey,1945-03-14,1945.0,
https://en.wikipedia.org/wiki/Onie_Wheeler,,,"Senath, Missouri, United States"
https://en.wikipedia.org/wiki/Red_Foley,,,
https://en.wikipedia.org/wiki/Richard_Buckner_(musician),,,"California, United States. After living in Edmonton, Alberta"
https://en.wikipedia.org/wiki/Roy_Wiggins,,,
https://en.wikipedia.org/wiki/Sue_Thompson,,2021.0,
https://en.wikipedia.org/wiki/Tex_Williams,,,
https://en.wikipedia.org/wiki/Tom_Tall,,,
https://en.wikipedia.org/wiki/Uncle_Dave_Macon,,,
https://en.wikipedia.org/wiki/Catherine_McGrath,,1997.0,
https://en.wikipedia.org/wiki/Clarence_Horton_Greene,,,
https://en.wikipedia.org/wiki/Gabriel_Rhodes,,1974.0,"1974 in Sunset, Texas"
https://en.wikipedia.org/wiki/Hayden_Panettiere,,,
https://en.wikipedia.org/wiki/Jade_Eagleson,1994-05-23,1994.0,
https://en.wikipedia.org/wiki/James_Maddock,,1962.0,
https://en.wikipedia.org/wiki/Jimmy_Driftwood,,,
https://en.wikipedia.org/wiki/Joe_Carter_(guitarist),,,
https://en.wikipedia.org/wiki/Karley_Scott_Collins,1999-12-14,1999.0,
https://en.wikipedia.org/wiki/Margo_Cilker,,1993.0,
https://en.wikipedia.org/wiki/Nikki_Lane,1983-10-17,1983.0,
https://en.wikipedia.org/wiki/Paul_Westmoreland,,,
https://en.wikipedia.org/wiki/Ray_Griff,,,Vancouver and raised in Toronto. His songwriting credits reached over
https://en.wikipedia.org/wiki/Roy_Moss,,1929.0,"Plainview, Arkansas"
https://en.wikipedia.org/wiki/Sam_Baker_(musician),,1954.0,
https://en.wikipedia.org/wiki/Sara_Watkins,1981-06-08,1981.0,
https://en.wikipedia.org/wiki/Spade_Cooley,,,
https://en.wikipedia.org/wiki/Stoney_LaRue,,1977.0,
https://en.wikipedia.org/wiki/The_Statler_Brothers,,,
https://en.wikipedia.org/wiki/Wade_Mainer,,,
https://en.wikipedia.org/wiki/Arthur_Miles_(country_singer),,,
https://en.wikipedia.org/wiki/Cowboy_Slim_Rinehart,1948-10-28,1948.0,
https://en.wikipedia.org/wiki/Craig_Bickhardt,,1954.0,
https://en.wikipedia.org/wiki/Cyndi_Thomson,1976-10-19,1976.0,
https://en.wikipedia.org/wiki/Duane_Allen,1943-04-29,1943.0,
https://en.wikipedia.org/wiki/Gerry_House,,1948.0,
https://en.wikipedia.org/wiki/Jack_Cardwell,,,
https://en.wikipedia.org/wiki/Jackie_Lee_(country_singer),1991-10-02,1991.0,"Maryville, Tennessee"
https://en.wikipedia.org/wiki/Jake_Hill_(musician),1992-04-10,1992.0,
https://en.wikipedia.org/wiki/Jennifer_Day_(singer),1979-08-22,1979.0,
https://en.wikipedia.org/wiki/Jimmie_Selph,,,
https://en.wikipedia.org/wiki/Joe_Barnhill,1965-06-13,1965.0,
https://en.wikipedia.org/wiki/Max_Johnston_(musician),,,
https://en.wikipedia.org/wiki/Montgomery_Gentry,,,
https://en.wikipedia.org/wiki/Reece_Shipley,,,
https://en.wikipedia.org/wiki/Sammy_Masters,,,
https://en.wikipedia.org/wiki/Terry_Gregory,1956-04-30,1956.0,"Washington, D.C."
https://en.wikipedia.org/wiki/The_Ranch_(band),,,
https://en.wikipedia.org/wiki/Thrasher_Shiver,,,
https://en.wikipedia.org/wiki/Trey_Lewis_(singer),,1987.0,
https://en.wikipedia.org/wiki/Alana_Springsteen,,,
https://en.wikipedia.org/wiki/El_Gringo_(musician),1976-07-03,1976.0,"Los Lunas and graduated from Los Lunas High School. Kiehne learned Spanish working at his family's ranch in the El Paso, Texas area. In"
https://en.wikipedia.org/wiki/John_White_(singer),,,
https://en.wikipedia.org/wiki/Kassi_Ashton,1994-02-03,1994.0,
https://en.wikipedia.org/wiki/Keni_Thomas,1965-07-01,1965.0,
https://en.wikipedia.org/wiki/Kippi_Brannon,,1966.0,
https://en.wikipedia.org/wiki/Lane_Turner,1967-02-03,1967.0,
https://en.wikipedia.org/wiki/Lenny_Cooper,,1988.0,"Jacksonville, North Carolina"
https://en.wikipedia.org/wiki/Leslie_Satcher,,1962.0,
https://en.wikipedia.org/wiki/Marilyn_Martin,1954-05-04,1954.0,
https://en.wikipedia.org/wiki/Marilyn_Sellars,1944-12-31,1944.0,
https://en.wikipedia.org/wiki/Mary_K._Miller,,,
https://en.wikipedia.org/wiki/Matt_Mason_(singer),,1985.0,
https://en.wikipedia.org/wiki/Maura_Sullivan_(singer),,1955.0,
https://en.wikipedia.org/wiki/McKenna_Faith,1995-01-06,1995.0,
https://en.wikipedia.org/wiki/Mike_Johnson_(yodeler),,1946.0,
https://en.wikipedia.org/wiki/Nick_Shoulders,,,
https://en.wikipedia.org/wiki/Pete_Scobell,,,
https://en.wikipedia.org/wiki/Reno_Perez,,1973.0,
https://en.wikipedia.org/wiki/Todd_O'Neill,,1982.0,
https://en.wikipedia.org/wiki/Adam_Hambrick,1985-04-17,1985.0,
https://en.wikipedia.org/wiki/Billie_Maxwell,,,
https://en.wikipedia.org/wiki/Blind_Simmie_Dooley,,,
https://en.wikipedia.org/wiki/Bob_Atcher,,,
https://en.wikipedia.org/wiki/Floyd_Cramer,,,
https://en.wikipedia.org/wiki/Leland_Martin,1957-02-20,1957.0,
https://en.wikipedia.org/wiki/Martin_Delray,,1949.0,
https://en.wikipedia.org/wiki/Megan_Redmond,,1996.0,
https://en.wikipedia.org/wiki/Nicki_Bluhm,,1979.0,
https://en.wikipedia.org/wiki/Pake_McEntire,,,
https://en.wikipedia.org/wiki/Paul_Cauthen,,1986.0,
https://en.wikipedia.org/wiki/Richard_Dobson,,,
https://en.wikipedia.org/wiki/Samantha_Bumgarner,,,
https://en.wikipedia.org/wiki/Sarah_Johns,,1979.0,
https://en.wikipedia.org/wiki/Scott_Miller_(country_musician),,1968.0,
https://en.wikipedia.org/wiki/Sonia_Leigh,,1978.0,
https://en.wikipedia.org/wiki/Stoney_Edwards,,,
https://en.wikipedia.org/wiki/Tamara_Walker,1966-05-01,1966.0,
https://en.wikipedia.org/wiki/Tammy_Rogers,,1966.0,
https://en.wikipedia.org/wiki/Tyler_Dickerson,,1993.0,"Hattiesburg, Mississippi"
https://en.wikipedia.org/wiki/Abbie_Neal,,,
https://en.wikipedia.org/wiki/Allison_Paige,1982-05-27,1982.0,
https://en.wikipedia.org/wiki/Arum_Rae,,,"Colorado Springs, Colorado. Her sound is heavily influenced by jazz singers like Ella Fitzgerald and Nina Simone. Her style blends heavy"
https://en.wikipedia.org/wiki/Ash_Bowers,,,
https://en.wikipedia.org/wiki/Birch_Monroe,,,
https://en.wikipedia.org/wiki/Blake_Wise,,,
https://en.wikipedia.org/wiki/Bodeco,,,
https://en.wikipedia.org/wiki/Dale_Ann_Bradley,,,
https://en.wikipedia.org/wiki/Eddie_Jackson_(singer),,,"Cookeville, Tennessee"
https://en.wikipedia.org/wiki/Evan_Bartels,,,
https://en.wikipedia.org/wiki/Jared_Wade,1988-08-27,1988.0,"Savannah, Georgia"
https://en.wikipedia.org/wiki/Krystal_Keith,,1985.0,
https://en.wikipedia.org/wiki/Leah_Turner,1987-07-29,1987.0,
https://en.wikipedia.org/wiki/Logan_Brill,,,
https://en.wikipedia.org/wiki/Luke_Tan,,1977.0,
https://en.wikipedia.org/wiki/Rachel_Farley,1995-03-28,1995.0,
https://en.wikipedia.org/wiki/Sean_McConnell,,,
https://en.wikipedia.org/wiki/Sean_Patrick_McGraw,,,
