seed_title,source_seed,wikidata_qid
The Teenagers,artist_universe_full_targeted,Q1445090
The Vandals,artist_universe_full_targeted,Q1570297
The Velvet Underground,artist_universe_full_targeted,Q103550
The Voice (U.S. season 5),artist_universe_full_targeted,Q14946449
The Wagoneers,artist_universe_full_targeted,Q1383125
The Walkmen,artist_universe_full_targeted,Q1850330
The War and Treaty,artist_universe_full_targeted,Q96532550
The Youngbloods,artist_universe_full_targeted,Q1780037
Third Avenue,artist_universe_full_targeted,Q124857
Thomas Wayne,artist_universe_full_targeted,Q1060159
Three Dog Night,artist_universe_full_targeted,Q1474254
Tigirlily Gold,artist_universe_full_targeted,Q122840128
Tim Hus,artist_universe_full_targeted,Q7803692
Tom Leahy,artist_universe_full_targeted,Q6520578
Tommy Makem,artist_universe_full_targeted,
Trans Am,artist_universe_full_targeted,Q1269484
Travis Meadows,artist_universe_full_targeted,
Trick Pony,artist_universe_full_targeted,Q3539042
Troy Cartwright,artist_universe_full_targeted,Q28405386
Uncle Tupelo,artist_universe_full_targeted,Q1473092
Union Station,artist_universe_full_targeted,Q253122
Unwritten Law,artist_universe_full_targeted,Q1197707
Ursus arctos horribilis,artist_universe_full_targeted,Q171004
Valdy,artist_universe_full_targeted,Q7909476
Van Halen,artist_universe_full_targeted,Q190155
Van Zant,artist_universe_full_targeted,Q1037729
Violent Femmes,artist_universe_full_targeted,Q1134615
Voices of Fire,artist_universe_full_targeted,Q138544892
Vybe,artist_universe_full_targeted,Q131227406
Wall of Voodoo,artist_universe_full_targeted,Q1757556
Warrior Soul,artist_universe_full_targeted,Q1572800
Wayne Hancock,artist_universe_full_targeted,
Wayne Perry,artist_universe_full_targeted,
Whiskeytown,artist_universe_full_targeted,Q1240650
Wild Rose,artist_universe_full_targeted,Q1217269
X Ambassadors,artist_universe_full_targeted,Q15963313
Xasthur,artist_universe_full_targeted,
Zac Brown Band,artist_universe_full_targeted,Q139154
Zaca Creek,artist_universe_full_targeted,Q8063730
Zach Bryan,artist_universe_full_targeted,Q106770023
Zach McPhee,artist_universe_full_targeted,Q134567318
Zephyr,artist_universe_full_targeted,Q191368
afterglow,artist_universe_full_targeted,Q1141780
carpentry,artist_universe_full_targeted,Q203605
chemical element,artist_universe_full_targeted,
clutch,artist_universe_full_targeted,Q194302
country club,artist_universe_full_targeted,Q1137210
cursive,artist_universe_full_targeted,Q1079418
dead bolt,artist_universe_full_targeted,Q17149603
dusk,artist_universe_full_targeted,Q11288132
eagle,artist_universe_full_targeted,Q2092297
evergreen plant,artist_universe_full_targeted,Q190489
exile,artist_universe_full_targeted,Q188863
failure,artist_universe_full_targeted,Q1121708
fire station,artist_universe_full_targeted,
frying pan,artist_universe_full_targeted,Q127666
hammock,artist_universe_full_targeted,Q193823
health,artist_universe_full_targeted,Q12147
heart,artist_universe_full_targeted,Q1072
hem,artist_universe_full_targeted,Q12536994
