seed_title,source_seed,wikidata_qid
Dallas Wayne,artist_universe_full_targeted,
Dan + Shay,artist_universe_full_targeted,Q16959408
Daniel Johnson,artist_universe_full_targeted,Q1214825
Danny Burns,artist_universe_full_targeted,Q112468950
Darden Smith,artist_universe_full_targeted,
Date Palms,artist_universe_full_targeted,Q119671339
Daughtry,artist_universe_full_targeted,Q1272540
Dave Nachmanoff,artist_universe_full_targeted,
Dave Pomeroy,artist_universe_full_targeted,
David Grissom,artist_universe_full_targeted,
David James,artist_universe_full_targeted,Q1132930
David Kersh,artist_universe_full_targeted,
David Wills,artist_universe_full_targeted,
Dawkins & Dawkins,artist_universe_full_targeted,Q20005723
Dean Beard,artist_universe_full_targeted,Q1181027
Dean Brody,artist_universe_full_targeted,Q5246027
Death Cab for Cutie,artist_universe_full_targeted,Q16414
Deerhunter,artist_universe_full_targeted,Q1182499
Delbert Barker,artist_universe_full_targeted,Q1183999
Della Mae,artist_universe_full_targeted,Q20559143
Derek Dunn,artist_universe_full_targeted,Q108147050
Diamond Rio,artist_universe_full_targeted,Q1208723
Dion,artist_universe_full_targeted,Q1226915
Django Walker,artist_universe_full_targeted,
Don Amero,artist_universe_full_targeted,Q23542609
Don Gililland,artist_universe_full_targeted,
Don Woody,artist_universe_full_targeted,Q1239582
Donny Parenteau,artist_universe_full_targeted,Q5296746
Dottsy,artist_universe_full_targeted,
Dr. Dog,artist_universe_full_targeted,Q1253851
Dr. Hook & the Medicine Show,artist_universe_full_targeted,Q1253921
Dru Hill,artist_universe_full_targeted,Q1260713
Duane Allen,artist_universe_full_targeted,Q16106162
Duane Steele,artist_universe_full_targeted,Q5310388
Due West,artist_universe_full_targeted,Q20998375
Dust La Rock,artist_universe_full_targeted,
Duster,artist_universe_full_targeted,Q1247630
Düster,artist_universe_full_targeted,
Eddie Noack,artist_universe_full_targeted,
Element,artist_universe_full_targeted,Q180750
Elizabeth J. Phillips,artist_universe_full_targeted,
Elizabeth Phillips,artist_universe_full_targeted,Q106631067
Eric Dixon (disambiguation),artist_universe_full_targeted,Q124811071
Eric Heatherly,artist_universe_full_targeted,
Evan Bartels,artist_universe_full_targeted,Q30322692
Evan Stewart,artist_universe_full_targeted,Q116606615
Fiend Without a Face,artist_universe_full_targeted,Q2037665
FireHouse,artist_universe_full_targeted,Q1330704
Flamin' Groovies,artist_universe_full_targeted,Q1571476
Flat Duo Jets,artist_universe_full_targeted,Q1427282
Flatt and Scruggs,artist_universe_full_targeted,Q1040688
Florida Georgia Line,artist_universe_full_targeted,Q3644642
Floyd County Ramblers,artist_universe_full_targeted,Q1430354
Foreigner,artist_universe_full_targeted,Q1272171
Frank DeVito,artist_universe_full_targeted,Q124347099
Fu Manchu,artist_universe_full_targeted,Q1357701
Galaxie 500,artist_universe_full_targeted,Q176240
Garrison Starr,artist_universe_full_targeted,
Gary Adams,artist_universe_full_targeted,Q110970438
Gary Cummings,artist_universe_full_targeted,Q137677953
Gary Stites,artist_universe_full_targeted,Q5526005
Gemini,artist_universe_full_targeted,Q111082
Gene Simmons,artist_universe_full_targeted,
Georgia Middleman,artist_universe_full_targeted,
Gerry House,artist_universe_full_targeted,Q5552802
Ghoultown,artist_universe_full_targeted,Q1521954
Giant Sand,artist_universe_full_targeted,Q1424974
Gibson Brothers,artist_universe_full_targeted,Q1189202
Gil Grand,artist_universe_full_targeted,Q5560526
Glenn Douglas Tubb,artist_universe_full_targeted,
Golden Delicious,artist_universe_full_targeted,Q201996
Gone West,artist_universe_full_targeted,Q65049107
Good Riddance,artist_universe_full_targeted,Q16912404
