artist_id,name_primary,chart_artist_name,artist_resolution,song_name,song_key,best_chart_year,best_chart_pos,all_chart_years,all_chart_positions,source_titles
artist_000683,Ray Price,Ray Price,existing_artist,That's What It's Like to Be Lonesome,that s what it s like to be lonesome,1959,7,1959,7,1959 in country music
artist_001825,Ray Sanders (singer),Ray Sanders,existing_artist,World So Full of Love,world so full of love,1960,18,1960,18,1960 in country music
artist_001790,Ray Stevens,Ray Stevens,existing_artist,The Streak,the streak,1974,3,1974,3,1974 in country music
artist_000015,Reba McEntire,Reba McEntire,existing_artist,Fancy,fancy,1991,8,1991,8,1991 in country music
artist_000015,Reba McEntire,Reba McEntire,existing_artist,I'm a Survivor,i m a survivor,2001,3,2001,3,2001 in country music
artist_000015,Reba McEntire,Reba McEntire featuring Brooks & Dunn,existing_artist,If You See Him/If You See Her,if you see him if you see her,1998,1,1998,1,1998 in country music
artist_000015,Reba McEntire,Reba McEntire,existing_artist,She Thinks His Name Was John,she thinks his name was john,1994,15,1994,15,1994 in country music
artist_000015,Reba McEntire,Reba McEntire,existing_artist,They Asked About You,they asked about you,1994,7,1994,7,1994 in country music
artist_000015,Reba McEntire,Reba McEntire,existing_artist,What If?,what if,1998,23,1998,23,1998 in country music
artist_000015,Reba McEntire,Reba McEntire,existing_artist,Why Haven't I Heard from You,why haven t i heard from you,1994,5,1994,5,1994 in country music
artist_000708,Red Foley,Red Foley,existing_artist,Alabama Jubilee,alabama jubilee,1952,3,1952,3,Billboard Top Country & Western Records of 1952
artist_000708,Red Foley,Red Foley,existing_artist,As Far As I'm Concerned,as far as i m concerned,1954,8,1954,8,Billboard Top Country & Western Records of 1954
artist_000708,Red Foley,Red Foley,existing_artist,Birmingham Bounce,birmingham bounce,1950,1,1950,1,Billboard Top Country & Western Records of 1950
artist_000708,Red Foley,Red Foley,existing_artist,Chattanoogie Shoe Shine Boy,chattanoogie shoe shine boy,1950,1,1950,1,Billboard Top Country & Western Records of 1950
artist_000708,Red Foley,Red Foley,existing_artist,Cincinnati Dancing Pig,cincinnati dancing pig,1950,2,1950,2,Billboard Top Country & Western Records of 1950
artist_000708,Red Foley,Red Foley,existing_artist,Hearts of Stone,hearts of stone,1955,13,1955,13,Billboard Top Country & Western Records of 1955
artist_000708,Red Foley,Red Foley,existing_artist,Just a Closer Walk With Thee,just a closer walk with thee,1950,25,1950,25,Billboard Top Country & Western Records of 1950
artist_000708,Red Foley,Red Foley,existing_artist,M-I-S-S-I-S-S-I-P-P-I,m i s s i s s i p p i,1950,1,1950,1,Billboard Top Country & Western Records of 1950
artist_000708,Red Foley,Red Foley,existing_artist,Midnight,midnight,1953,28,1953,28,Billboard Top Country & Western Records of 1953
