musicbrainz_mbid,mbx_birth_year,mbx_birth_city,mbx_birth_state,mbx_birth_country,musicbrainz_artist_type
6d9e7506-8b53-4dd8-992a-512b18f3b6ba,,,,United States,Person
8f0c7db9-6d1c-446b-913c-b5c6811ca6fc,1955.0,,,United States,Group
9eed827f-ddf8-4d55-b83b-f8d6bbbca54d,1929.0,,Missouri,United States,Person
61a43fdf-61fc-4676-85b1-17709a7882b8,,,North Carolina,United States,Person
508a278f-8659-415b-a675-c5075244c830,,,,United States,Person
0e94571b-66f0-4443-90a2-e89b1f5e7dec,1991.0,,,United States,Person
add67eec-6441-4400-aa38-05a94041828f,,,,United States,Person
e0870836-d112-4851-92bd-570f2e1e62cb,1992.0,,,United States,Person
a38eff48-19da-44cd-bb87-ed3861afd8d0,1979.0,,Mississippi,United States,Person
681a173a-a18a-42a6-8136-3c0ef3d88036,1953.0,,,United States,Person
e1f83b22-d40e-400a-8ebb-4e59b5b53d31,1957.0,,California,United States,Person
15d34dc5-12d2-475e-8244-cb3eb19fa805,,,,United States,Person
b8be39a1-85a1-48ec-961d-188bfcd73097,,,,United States,Person
6728787e-8534-48f2-a8d1-70c59e8818da,1957.0,,,United States,Person
611a3e51-804e-4798-8971-6f45541c9d03,,,,United States,Person
d39f9276-32c1-4b84-9389-d77dbc3801ae,1993.0,,,United States,Group
b7984d80-3e30-42d3-b34c-b6aeb258aa6c,,,,United States,Person
b69916ba-1213-4a44-a9c2-087c8e26f400,1979.0,,,United States,Person
52b19859-74d8-4952-87eb-0d8351281df7,1995.0,,,United States,Group
3f6e3fe2-6f82-4246-a02e-c8496d848537,1911.0,,,United States,Person
1af9993d-7410-46ca-a94b-14c2994f285e,1943.0,,,United States,Person
8e828427-ec30-4cac-a90f-e4a5701b71ab,1921.0,,,United States,Person
339973c0-fc0d-4570-bf95-07082a9c7e88,,,,United States,Person
3cfdd428-e5d0-408c-b8a7-5a149c89e6a9,1997.0,,,United States,Group
e91cc3d2-640a-4529-8d4f-9bf14f1257ca,1925.0,,,United States,Person
8124e55d-2d3f-4e72-8ca6-5a89d9aa2c25,1904.0,,Texas,United States,Person
b3a3fd76-20bb-4276-bd1a-e09c89116074,1954.0,,Pennsylvania,United States,Person
0aed69f3-585a-424b-ada2-df6b47137ea5,1976.0,,,United States,Person
088e9c9c-a431-460c-9ea4-539654ae0a51,1948.0,,,United States,Person
