seed_title,source_seed,wikidata_qid
Guns N' Roses,artist_universe_adjacent_targeted,Q11895
Guy Davis,artist_universe_adjacent_targeted,
Haim,artist_universe_adjacent_targeted,Q33084262
Hannah Montana,artist_universe_adjacent_targeted,
Hans Teichmann,artist_universe_adjacent_targeted,Q133462079
Head East,artist_universe_adjacent_targeted,Q1592229
Henry Morrison,artist_universe_adjacent_targeted,
Herbert Morris,artist_universe_adjacent_targeted,
Hickory Wind,artist_universe_adjacent_targeted,
High Street,artist_universe_adjacent_targeted,
High country,artist_universe_adjacent_targeted,Q16784653
Hiss Golden Messenger,artist_universe_adjacent_targeted,
Hoi Polloi,artist_universe_adjacent_targeted,
Hootie & the Blowfish,artist_universe_adjacent_targeted,
Houndmouth,artist_universe_adjacent_targeted,
Ida Mae,artist_universe_adjacent_targeted,
Igor & The Red Elvises,artist_universe_adjacent_targeted,Q1976152
Ike & Tina Turner,artist_universe_adjacent_targeted,
In Gowan Ring,artist_universe_adjacent_targeted,
Indigo Swing,artist_universe_adjacent_targeted,
Integrity Music,artist_universe_adjacent_targeted,Q15401689
Iron horse,artist_universe_adjacent_targeted,Q17096977
Jack Rose,artist_universe_adjacent_targeted,
James Gang,artist_universe_adjacent_targeted,
James O'Rourke,artist_universe_adjacent_targeted,Q18142389
Jamestown Revival,artist_universe_adjacent_targeted,
Jason Nelson,artist_universe_adjacent_targeted,
Jeff Parker,artist_universe_adjacent_targeted,
Jeremy Butler,artist_universe_adjacent_targeted,
Jerry Thompson,artist_universe_adjacent_targeted,
Jim Crawford,artist_universe_adjacent_targeted,Q1100783
Jim Hendricks,artist_universe_adjacent_targeted,
Jimmy & Johnny,artist_universe_adjacent_targeted,
John Arter,artist_universe_adjacent_targeted,
John Craigie,artist_universe_adjacent_targeted,
John Fahey,artist_universe_adjacent_targeted,
John Stoddart,artist_universe_adjacent_targeted,
Johnny and the Hurricanes,artist_universe_adjacent_targeted,
Jon Spencer Blues Explosion,artist_universe_adjacent_targeted,Q1417601
Jonny Fritz,artist_universe_adjacent_targeted,
Joseph Hall,artist_universe_adjacent_targeted,
Joseph Murphy,artist_universe_adjacent_targeted,Q1208247
Josh Turknett,artist_universe_adjacent_targeted,
Joy Gardner,artist_universe_adjacent_targeted,
Kansas,artist_universe_adjacent_targeted,
Karen Harding,artist_universe_adjacent_targeted,
Karen Peck and New River,artist_universe_adjacent_targeted,
Karen Staley,artist_universe_adjacent_targeted,
Karma to Burn,artist_universe_adjacent_targeted,
Katie McVean,artist_universe_adjacent_targeted,Q1475453
King Dude,artist_universe_adjacent_targeted,
Larry Hall,artist_universe_adjacent_targeted,
Larry Robinson,artist_universe_adjacent_targeted,
Larry Vuckovich,artist_universe_adjacent_targeted,
Laura Cortese,artist_universe_adjacent_targeted,
Lauren-Ashley,artist_universe_adjacent_targeted,
Leftover Salmon,artist_universe_adjacent_targeted,
Leftöver Crack,artist_universe_adjacent_targeted,
Lex Rijger,artist_universe_adjacent_targeted,
Libby Johnson,artist_universe_adjacent_targeted,
Lilli Lewis,artist_universe_adjacent_targeted,
Lillian Axe,artist_universe_adjacent_targeted,Q1171184
Lit,artist_universe_adjacent_targeted,
Logan Mize,artist_universe_adjacent_targeted,
Los Tigres del Norte,artist_universe_adjacent_targeted,
Louis Johnson,artist_universe_adjacent_targeted,
Lynyrd Skynyrd,artist_universe_adjacent_targeted,
Lȧȧz Rockit,artist_universe_adjacent_targeted,
Maddie & Tae,artist_universe_adjacent_targeted,
Marisa Anderson,artist_universe_adjacent_targeted,
Mark Germino,artist_universe_adjacent_targeted,
Mark O'Connor's Hot Swing Trio,artist_universe_adjacent_targeted,
Mark Stuart,artist_universe_adjacent_targeted,
Mary Mary,artist_universe_adjacent_targeted,
Masorti,artist_universe_adjacent_targeted,
Max Bartoskiewicz,artist_universe_adjacent_targeted,Q1912203
Mazzy Star,artist_universe_adjacent_targeted,
Meesha,artist_universe_adjacent_targeted,
Melanie,artist_universe_adjacent_targeted,
Mendoza Line,artist_universe_adjacent_targeted,Q1037153
Mercury Grand Marquis,artist_universe_adjacent_targeted,Q1360787
Mica Roberts,artist_universe_adjacent_targeted,
Milton Brown,artist_universe_adjacent_targeted,
Mischief Brew,artist_universe_adjacent_targeted,
Monster Magnet,artist_universe_adjacent_targeted,
Mood Swings,artist_universe_adjacent_targeted,Q16875535
Moriah,artist_universe_adjacent_targeted,Q20978866
Mr. Mister,artist_universe_adjacent_targeted,
Mr. Swing,artist_universe_adjacent_targeted,
Mudcrutch,artist_universe_adjacent_targeted,
Nashville Bluegrass Band,artist_universe_adjacent_targeted,Q10335608
Nashville Pussy,artist_universe_adjacent_targeted,
Nazz,artist_universe_adjacent_targeted,
Needtobreathe,artist_universe_adjacent_targeted,Q1817575
Nelson Clark Dale,artist_universe_adjacent_targeted,Q115294535
New Riders of the Purple Sage,artist_universe_adjacent_targeted,
New York Rock & Roll Ensemble,artist_universe_adjacent_targeted,Q16956415
Nickel Creek,artist_universe_adjacent_targeted,
Nothing More,artist_universe_adjacent_targeted,
Nova Rockafeller,artist_universe_adjacent_targeted,
Odell McLeod,artist_universe_adjacent_targeted,
Okkervil River,artist_universe_adjacent_targeted,
OneRepublic,artist_universe_adjacent_targeted,
Osage,artist_universe_adjacent_targeted,
Pacer,artist_universe_adjacent_targeted,Q1271757
Papa San,artist_universe_adjacent_targeted,
Parquet Courts,artist_universe_adjacent_targeted,
Paul Adkins,artist_universe_adjacent_targeted,
Paul Foster,artist_universe_adjacent_targeted,
Paul Peek,artist_universe_adjacent_targeted,
Pearls Before Swine,artist_universe_adjacent_targeted,
Pere Ubu,artist_universe_adjacent_targeted,
Pete Rock & CL Smooth,artist_universe_adjacent_targeted,
Phantom Planet,artist_universe_adjacent_targeted,
Phil Lee,artist_universe_adjacent_targeted,
Pilot Speed,artist_universe_adjacent_targeted,Q1541627
Pinback,artist_universe_adjacent_targeted,
Plumb,artist_universe_adjacent_targeted,
Poor Man's Poison,artist_universe_adjacent_targeted,
Psychograss,artist_universe_adjacent_targeted,
Pteropodidae,artist_universe_adjacent_targeted,Q185230
Puss n Boots,artist_universe_adjacent_targeted,Q16967982
Quasi,artist_universe_adjacent_targeted,
R.E.M.,artist_universe_adjacent_targeted,
Rachel Brooke,artist_universe_adjacent_targeted,
Radio 4,artist_universe_adjacent_targeted,Q1126462
Ratatat,artist_universe_adjacent_targeted,
Resound,artist_universe_adjacent_targeted,
Rezurex,artist_universe_adjacent_targeted,
Rob Base and DJ E-Z Rock,artist_universe_adjacent_targeted,Q1984281
Rock 'n' Roll Gypsies,artist_universe_adjacent_targeted,
Rock Candy Funk Party,artist_universe_adjacent_targeted,
Rock City,artist_universe_adjacent_targeted,
Rock Davis,artist_universe_adjacent_targeted,
Rock Master Scott & the Dynamic Three,artist_universe_adjacent_targeted,Q17042826
Rock Scully,artist_universe_adjacent_targeted,
Rock candy,artist_universe_adjacent_targeted,Q849816
Rockapella,artist_universe_adjacent_targeted,
Rod Picott,artist_universe_adjacent_targeted,
Roger Jones,artist_universe_adjacent_targeted,
Ryan Adams & the Cardinals,artist_universe_adjacent_targeted,
Ryan Griffin,artist_universe_adjacent_targeted,
Ryan Seaton,artist_universe_adjacent_targeted,
Saxons,artist_universe_adjacent_targeted,Q101985
Sebadoh,artist_universe_adjacent_targeted,
Shaver,artist_universe_adjacent_targeted,
She & Him,artist_universe_adjacent_targeted,
Shenandoah,artist_universe_adjacent_targeted,
Sir Douglas Quintet,artist_universe_adjacent_targeted,
Sister Hazel,artist_universe_adjacent_targeted,
Sister Sadie,artist_universe_adjacent_targeted,
Slaughter,artist_universe_adjacent_targeted,
Son Volt,artist_universe_adjacent_targeted,
Sonic Youth,artist_universe_adjacent_targeted,
Sons of the Desert,artist_universe_adjacent_targeted,
Southern Raised,artist_universe_adjacent_targeted,
