seed_title,source_seed,wikidata_qid
Jimmie Selph,artist_universe_core_targeted,Q575242
Jimmy Velvit,artist_universe_core_targeted,
Joe Barnhill,artist_universe_core_targeted,Q6208483
John Duncan,artist_universe_core_targeted,Q1699853
John Landry,artist_universe_core_targeted,Q6243938
John McNicholl,artist_universe_core_targeted,Q16732396
John Richards,artist_universe_core_targeted,Q1694155
John Wheeler,artist_universe_core_targeted,Q371163
Johnnie Lee Wills,artist_universe_core_targeted,
Johnny Dollar,artist_universe_core_targeted,
Jonathan Jackson,artist_universe_core_targeted,Q1219137
Jonathan Singleton,artist_universe_core_targeted,
Jordan McIntosh,artist_universe_core_targeted,Q20684757
Josh Graves,artist_universe_core_targeted,
Julie Reeves,artist_universe_core_targeted,
Justin McBride,artist_universe_core_targeted,
Kate Mann,artist_universe_core_targeted,Q6375621
Keith Urban,artist_universe_core_targeted,Q315547
Kenny Vaughan,artist_universe_core_targeted,Q29617906
Kenny Vernon,artist_universe_core_targeted,
Kenny Winfree,artist_universe_core_targeted,
Kira Isabella,artist_universe_core_targeted,Q6414757
LATAM Cargo Colombia,artist_universe_core_targeted,Q537223
Lady A,artist_universe_core_targeted,Q389870
Lasse Stefanz,artist_universe_core_targeted,Q742028
Laurel and Hardy,artist_universe_core_targeted,Q33497
Lavender Country,artist_universe_core_targeted,Q16960029
Leahy,artist_universe_core_targeted,Q6509272
Leen,artist_universe_core_targeted,Q2885136
Leon Payne,artist_universe_core_targeted,Q1226480
Levi Parham,artist_universe_core_targeted,Q22279571
Little Big Town,artist_universe_core_targeted,Q607317
Logan Brill,artist_universe_core_targeted,Q16731589
Lonestar,artist_universe_core_targeted,Q1869293
Lucille Starr,artist_universe_core_targeted,Q432881
Luke O'Shea,artist_universe_core_targeted,Q101129416
Martha Carson,artist_universe_core_targeted,Q1675722
Mary Duff,artist_universe_core_targeted,Q6779346
Mary Jo Chelette,artist_universe_core_targeted,
Matt Lang,artist_universe_core_targeted,Q108670654
McGuffey Lane,artist_universe_core_targeted,Q16951039
McHayes,artist_universe_core_targeted,Q6801551
Mike Ryan,artist_universe_core_targeted,
Mitch Zorn,artist_universe_core_targeted,Q136890298
Montgomery Gentry,artist_universe_core_targeted,Q1190454
Old Dominion,artist_universe_core_targeted,Q7083856
Osborne Brothers,artist_universe_core_targeted,Q3522116
Parmalee,artist_universe_core_targeted,Q7139162
Paul Brandt,artist_universe_core_targeted,Q2058983
Raquel Cole,artist_universe_core_targeted,Q115492454
Rascal Flatts,artist_universe_core_targeted,Q753598
Rayland Baxter,artist_universe_core_targeted,
Rebecca Lynn Howard,artist_universe_core_targeted,Q4954881
Red Perkins,artist_universe_core_targeted,Q936536
Reece Shipley,artist_universe_core_targeted,Q2136456
Rio Grand,artist_universe_core_targeted,Q7335199
Rio Grande,artist_universe_core_targeted,Q160636
River Road,artist_universe_core_targeted,Q1906137
River Town Saints,artist_universe_core_targeted,Q24075525
Robyn Ottolini,artist_universe_core_targeted,Q104117399
Rocket Club,artist_universe_core_targeted,Q7355102
Roger Alan Wade,artist_universe_core_targeted,Q2161573
Roger Springer,artist_universe_core_targeted,Q7358941
Ron Hynes,artist_universe_core_targeted,Q7363962
Ryan Laird,artist_universe_core_targeted,Q7384233
Sam Palladio,artist_universe_core_targeted,Q2654275
Sammy Masters,artist_universe_core_targeted,Q612497
Sean McConnell,artist_universe_core_targeted,Q27680921
Sean Patrick McGraw,artist_universe_core_targeted,Q7441355
Shania Twain,artist_universe_core_targeted,Q131433
Slim Dusty,artist_universe_core_targeted,Q607807
Sparx,artist_universe_core_targeted,Q7573964
Spirit Family Reunion,artist_universe_core_targeted,Q20858359
Steel Magnolia,artist_universe_core_targeted,Q116411
The Allman Brothers Band,artist_universe_core_targeted,Q507327
The Bellamy Brothers,artist_universe_core_targeted,Q815801
The Boxmasters,artist_universe_core_targeted,Q7719600
The Chicks,artist_universe_core_targeted,Q142636
The Gourds,artist_universe_core_targeted,Q669818
The Grascals,artist_universe_core_targeted,Q7737563
The Hutchens,artist_universe_core_targeted,Q7741171
The Isaacs,artist_universe_core_targeted,Q7742642
The Kentucky Headhunters,artist_universe_core_targeted,Q691006
The Mavericks,artist_universe_core_targeted,Q951665
The Osmonds,artist_universe_core_targeted,Q1543041
The Ranch,artist_universe_core_targeted,Q21463452
The Road Hammers,artist_universe_core_targeted,Q3522525
The Stanley Brothers,artist_universe_core_targeted,Q656291
The Statler Brothers,artist_universe_core_targeted,Q167408
The Steel Woods,artist_universe_core_targeted,Q43081080
The SteelDrivers,artist_universe_core_targeted,Q7766441
The Swon Brothers,artist_universe_core_targeted,Q16226634
The War and Treaty,artist_universe_core_targeted,Q96532550
Tim Hus,artist_universe_core_targeted,Q7803692
Tom Leahy,artist_universe_core_targeted,Q6520578
Travis Meadows,artist_universe_core_targeted,
Trick Pony,artist_universe_core_targeted,Q3539042
Troy Cartwright,artist_universe_core_targeted,Q28405386
Valdy,artist_universe_core_targeted,Q7909476
Van Zant,artist_universe_core_targeted,Q1037729
Wade Bowen,artist_universe_core_targeted,Q7959023
Wayne Hancock,artist_universe_core_targeted,
Wayne Perry,artist_universe_core_targeted,
Zac Brown Band,artist_universe_core_targeted,Q139154
Zaca Creek,artist_universe_core_targeted,Q8063730
Zach McPhee,artist_universe_core_targeted,Q134567318
eagle,artist_universe_core_targeted,Q2092297
windward and leeward,artist_universe_core_targeted,Q372001
