artist_id,name_primary,chart_artist_name,artist_resolution,song_name,song_key,best_chart_year,best_chart_pos,all_chart_years,all_chart_positions,source_titles,source_kinds,artist_in_adjacent,artist_in_full
artist_002082,Eddy Arnold,Eddy Arnold,existing_artist,I'm Throwing Rice (At the Girl That I Love),i m throwing rice,1949,30,1949,30,1949 in country music,year_end,0,1
artist_002082,Eddy Arnold,Eddy Arnold,existing_artist,I've Been Thinking,i ve been thinking,1955,10,1955,10,Billboard Top Country & Western Records of 1955,year_end,0,1
artist_002082,Eddy Arnold,Eddy Arnold,existing_artist,It's a Sin,it s a sin,1947,1,1947|1947,1|2,1947 in country music,year_end,0,1
artist_002082,Eddy Arnold,Eddy Arnold,existing_artist,Jealous Hearted Me,jealous hearted me,1964,12,1964,12,1964 in country music,year_end,0,1
artist_002082,Eddy Arnold,Eddy Arnold and his Tennessee Plowboys,existing_artist,Just a Little Lovin' (Will Go a Long Way),just a little lovin,1948,4,1948|1948,4|18,1948 in country music,year_end,0,1
artist_002082,Eddy Arnold,Eddy Arnold,existing_artist,Kentuckian Song,kentuckian song,1955,25,1955,25,Billboard Top Country & Western Records of 1955,year_end,0,1
artist_002082,Eddy Arnold,Eddy Arnold,existing_artist,Little Angel With the Dirty Face,little angel with the dirty face,1950,3,1950,3,Billboard Top Country & Western Records of 1950,year_end,0,1
artist_002082,Eddy Arnold,Eddy Arnold,existing_artist,Lovebug Itch,lovebug itch,1950,2,1950,2,Billboard Top Country & Western Records of 1950,year_end,0,1
artist_002082,Eddy Arnold,Eddy Arnold,existing_artist,Mama and Daddy Broke My Heart,mama and daddy broke my heart,1950,6,1950,6,Billboard Top Country & Western Records of 1950,year_end,0,1
artist_002082,Eddy Arnold,Eddy Arnold,existing_artist,Molly,molly,1964,5,1964,5,1964 in country music,year_end,0,1
artist_002082,Eddy Arnold,Eddy Arnold,existing_artist,Somebody's Been Beating My Time,somebody s been beating my time,1951,2,1951,2,Billboard Top Country & Western Records of 1951,year_end,0,1
artist_002082,Eddy Arnold,Eddy Arnold,existing_artist,Take Me in Your Arms,take me in your arms,1950,1,1950,1,Billboard Top Country & Western Records of 1950,year_end,0,1
artist_002082,Eddy Arnold,Eddy Arnold,existing_artist,That Do Make It So Nice,that do make it so nice,1955,23,1955,23,Billboard Top Country & Western Records of 1955,year_end,0,1
artist_002082,Eddy Arnold,Eddy Arnold and his Tennessee Plowboys,existing_artist,That's How Much I Love You,that s how much i love you,1946,5,1946,5,1946 in country music,year_end,0,1
artist_002082,Eddy Arnold,Eddy Arnold,existing_artist,There's Been a Change in Me,there s been a change in me,1951,1,1951,1,Billboard Top Country & Western Records of 1951,year_end,0,1
artist_002082,Eddy Arnold,Eddy Arnold,existing_artist,You Don't Know Me,you don t know me,1956,40,1956,40,Billboard Top Country & Western Records of 1956,year_end,0,1
artist_002580,"Eddy Arnold, Hugo Winterhalter","Eddy Arnold, Hugo Winterhalter",existing_artist,The Cattle Call,the cattle call,1955,6,1955,6,Billboard Top Country & Western Records of 1955,year_end,0,0
artist_002542,"Eddy Arnold, The Tennessee Plowboy and His Guitar","Eddy Arnold, The Tennessee Plowboy and His Guitar",existing_artist,Don't Rob Another Man's Castle,don t rob another man s castle,1949,3,1949,3,1949 in country music,year_end,0,0
artist_002542,"Eddy Arnold, The Tennessee Plowboy and His Guitar","Eddy Arnold, The Tennessee Plowboy and His Guitar",existing_artist,I'm Throwing Rice (At The Girl That I Love),i m throwing rice,1949,7,1949,7,1949 in country music,year_end,0,0
artist_002542,"Eddy Arnold, The Tennessee Plowboy and His Guitar","Eddy Arnold, The Tennessee Plowboy and His Guitar",existing_artist,One Kiss Too Many,one kiss too many,1949,11,1949,11,1949 in country music,year_end,0,0
artist_002542,"Eddy Arnold, The Tennessee Plowboy and His Guitar","Eddy Arnold, The Tennessee Plowboy and His Guitar",existing_artist,The Echo of Your Footsteps,the echo of your footsteps,1949,13,1949,13,1949 in country music,year_end,0,0
artist_002542,"Eddy Arnold, The Tennessee Plowboy and His Guitar","Eddy Arnold, The Tennessee Plowboy and His Guitar",existing_artist,Then I Turned and Walked Slowly Away,then i turned and walked slowly away,1948,10,1948,10,1948 in country music,year_end,0,0
