seed_title,source_seed
Animal Collective,MusicBrainz tag:folk
Nanci Griffith,MusicBrainz tag:folk
Utah Phillips,MusicBrainz tag:folk
Tim Buckley,MusicBrainz tag:folk
Jerry Garcia,MusicBrainz tag:folk
The Dead,MusicBrainz tag:folk
Ramblin’ Jack Elliott,MusicBrainz tag:folk
Hiss Golden Messenger,MusicBrainz tag:folk
Bill Monroe,MusicBrainz tag:folk
"Crosby, Stills & Nash",MusicBrainz tag:folk
The New Christy Minstrels,MusicBrainz tag:folk
Dan Bern,MusicBrainz tag:folk
David Crosby,MusicBrainz tag:folk
Tracy Chapman,MusicBrainz tag:folk
Jim Hendricks,MusicBrainz tag:folk
Love,MusicBrainz tag:folk
Los Lobos,MusicBrainz tag:folk
Andrew Peterson,MusicBrainz tag:folk
Dropkick Murphys,MusicBrainz tag:folk
Sun City Girls,MusicBrainz tag:folk
Mississippi John Hurt,MusicBrainz tag:folk
The Avett Brothers,MusicBrainz tag:folk
Peter Mulvey,MusicBrainz tag:folk
John Fogerty,MusicBrainz tag:folk
Dave Hause,MusicBrainz tag:folk
Damien Jurado,MusicBrainz tag:folk
Poco,MusicBrainz tag:folk
Mark Lanegan,MusicBrainz tag:folk
Tony Rice,MusicBrainz tag:folk
Daniel Johnston,MusicBrainz tag:folk
Josh Rouse,MusicBrainz tag:folk
Marissa Nadler,MusicBrainz tag:folk
Jeff Buckley,MusicBrainz tag:folk
Greg Brown,MusicBrainz tag:folk
John Hammond,MusicBrainz tag:folk
Warren Zevon,MusicBrainz tag:folk
M. Ward,MusicBrainz tag:folk
Gillian Welch,MusicBrainz tag:folk
Tim O’Brien,MusicBrainz tag:folk
Steve Forbert,MusicBrainz tag:folk
Chris Smither,MusicBrainz tag:folk
The Hooters,MusicBrainz tag:folk
Todd Snider,MusicBrainz tag:folk
Richie Havens,MusicBrainz tag:folk
AJJ,MusicBrainz tag:folk
Cat Power,MusicBrainz tag:folk
John Prine,MusicBrainz tag:folk
Patti Smith,MusicBrainz tag:folk
Country Joe McDonald,MusicBrainz tag:folk
Ricky Skaggs,MusicBrainz tag:folk
Jack White,MusicBrainz tag:folk
Norman Blake,MusicBrainz tag:folk
Guy Clark,MusicBrainz tag:folk
Eva Cassidy,MusicBrainz tag:folk
June Carter Cash,MusicBrainz tag:folk
Larry Sparks,MusicBrainz tag:folk
Jean Ritchie,MusicBrainz tag:folk
Son Volt,MusicBrainz tag:folk
Mary Chapin Carpenter,MusicBrainz tag:folk
Lissie,MusicBrainz tag:folk
Rickie Lee Jones,MusicBrainz tag:folk
Mark Kozelek,MusicBrainz tag:folk
Ottmar Liebert,MusicBrainz tag:folk
Rory Block,MusicBrainz tag:folk
Jennifer Warnes,MusicBrainz tag:folk
Rodney Crowell,MusicBrainz tag:folk
Natalie Merchant,MusicBrainz tag:folk
Stefan Grossman,MusicBrainz tag:folk
Michelle Shocked,MusicBrainz tag:folk
Bruce Hornsby,MusicBrainz tag:folk
Sharon Van Etten,MusicBrainz tag:folk
Bob Seger & the Silver Bullet Band,MusicBrainz tag:folk
Roberta Flack,MusicBrainz tag:folk
The Chicks,MusicBrainz tag:folk
Brandi Carlile,MusicBrainz tag:folk
George Winston,MusicBrainz tag:folk
Bon Iver,MusicBrainz tag:folk
Rosanne Cash,MusicBrainz tag:folk
Regina Spektor,MusicBrainz tag:folk
Tendon Levey,MusicBrainz tag:folk
Hot Tuna,MusicBrainz tag:folk
Livingston Taylor,MusicBrainz tag:folk
Dar Williams,MusicBrainz tag:folk
Mark O’Connor,MusicBrainz tag:folk
Loren Mazzacane Connors,MusicBrainz tag:folk
Brave Combo,MusicBrainz tag:folk
The Del McCoury Band,MusicBrainz tag:folk
Mount Eerie,MusicBrainz tag:folk
R. Carlos Nakai,MusicBrainz tag:folk
Leftover Salmon,MusicBrainz tag:folk
The Shins,MusicBrainz tag:folk
Bobbie Gentry,MusicBrainz tag:folk
Art Garfunkel,MusicBrainz tag:folk
Smog,MusicBrainz tag:folk
Jerry Jeff Walker,MusicBrainz tag:folk
The Lumineers,MusicBrainz tag:folk
Beirut,MusicBrainz tag:folk
The Magnetic Fields,MusicBrainz tag:folk
Amos Lee,MusicBrainz tag:folk
Josh White,MusicBrainz tag:folk
Joan Osborne,MusicBrainz tag:folk
Marc Cohn,MusicBrainz tag:folk
Melanie Martinez,MusicBrainz tag:folk
Okkervil River,MusicBrainz tag:folk
David Rovics,MusicBrainz tag:folk
Mike Seeger,MusicBrainz tag:folk
Steve Goodman,MusicBrainz tag:folk
Jack Hardy,MusicBrainz tag:folk
Justin Townes Earle,MusicBrainz tag:folk
Stephen Stills,MusicBrainz tag:folk
16 Horsepower,MusicBrainz tag:folk
Michael Martin Murphey,MusicBrainz tag:folk
Sun Kil Moon,MusicBrainz tag:folk
Brewer & Shipley,MusicBrainz tag:folk
The Head and the Heart,MusicBrainz tag:folk
Roger McGuinn,MusicBrainz tag:folk
The Grass Roots,MusicBrainz tag:folk
Charlotte Martin,MusicBrainz tag:folk
Béla Fleck,MusicBrainz tag:folk
Michael Franks,MusicBrainz tag:folk
Barry McGuire,MusicBrainz tag:folk
Shawn Phillips,MusicBrainz tag:folk
Gordon Bok,MusicBrainz tag:folk
Eliza Gilkyson,MusicBrainz tag:folk
Blind Melon,MusicBrainz tag:folk
Robbie Basho,MusicBrainz tag:folk
Sebadoh,MusicBrainz tag:folk
Against Me!,MusicBrainz tag:folk
Flogging Molly,MusicBrainz tag:folk
William Fitzsimmons,MusicBrainz tag:folk
Jake Shimabukuro,MusicBrainz tag:folk
Dan Fogelberg,MusicBrainz tag:folk
In Gowan Ring,MusicBrainz tag:folk
Claudia Schmidt,MusicBrainz tag:folk
Cathy Fink and Marcy Marxer,MusicBrainz tag:folk
Jim Lauderdale,MusicBrainz tag:folk
Olivia Rodrigo,MusicBrainz tag:folk
Jim O’Rourke,MusicBrainz tag:folk
Band of Horses,MusicBrainz tag:folk
Ray LaMontagne,MusicBrainz tag:folk
John Sebastian,MusicBrainz tag:folk
David Wilcox,MusicBrainz tag:folk
Chip Taylor,MusicBrainz tag:folk
Patty Griffin,MusicBrainz tag:folk
Jesse Colin Young,MusicBrainz tag:folk
Father John Misty,MusicBrainz tag:folk
Jeb Loy Nichols,MusicBrainz tag:folk
Jimmy LaFave,MusicBrainz tag:folk
Tony Furtado,MusicBrainz tag:folk
Christine Lavin,MusicBrainz tag:folk
Peter Rowan,MusicBrainz tag:folk
BONES,MusicBrainz tag:folk
Jackson C. Frank,MusicBrainz tag:folk
Big Blood,MusicBrainz tag:folk
J.D. Crowe and the New South,MusicBrainz tag:folk
The Felice Brothers,MusicBrainz tag:folk
Stuart Davis,MusicBrainz tag:folk
Amps for Christ,MusicBrainz tag:folk
Mason Jennings,MusicBrainz tag:folk
The Youngbloods,MusicBrainz tag:folk
Brett Dennen,MusicBrainz tag:folk
Dawes,MusicBrainz tag:folk
Kate Wolf,MusicBrainz tag:folk
Lyle Lovett,MusicBrainz tag:folk
Sonny & Cher,MusicBrainz tag:folk
Bill Staines,MusicBrainz tag:folk
Madeleine Peyroux,MusicBrainz tag:folk
Erin McKeown,MusicBrainz tag:folk
Lonesome River Band,MusicBrainz tag:folk
Charles Manson,MusicBrainz tag:folk
Tish Hinojosa,MusicBrainz tag:folk
Robin & Linda Williams,MusicBrainz tag:folk
The Clancy Brothers,MusicBrainz tag:folk
Hazel Dickens,MusicBrainz tag:folk
Kevin Devine,MusicBrainz tag:folk
Phoebe Snow,MusicBrainz tag:folk
Hoyt Axton,MusicBrainz tag:folk
Laurie Lewis,MusicBrainz tag:folk
Sweet Honey in the Rock,MusicBrainz tag:folk
Woods,MusicBrainz tag:folk
The Holy Modal Rounders,MusicBrainz tag:folk
Alex G,MusicBrainz tag:folk
Joe Walsh,MusicBrainz tag:folk
Joe Glazer,MusicBrainz tag:folk
Noah Kahan,MusicBrainz tag:folk
The Hackensaw Boys,MusicBrainz tag:folk
Harvey Reid,MusicBrainz tag:folk
Dr. Dog,MusicBrainz tag:folk
Kimya Dawson,MusicBrainz tag:folk
Ella Jenkins,MusicBrainz tag:folk
Nickel Creek,MusicBrainz tag:folk
Peter Ostroushko,MusicBrainz tag:folk
Ellis Paul,MusicBrainz tag:folk
Matt Costa,MusicBrainz tag:folk
X Ambassadors,MusicBrainz tag:folk
Riders in the Sky,MusicBrainz tag:folk
Mark Erelli,MusicBrainz tag:folk
Traveling Wilburys,MusicBrainz tag:folk
Adam Green,MusicBrainz tag:folk
Deer Tick,MusicBrainz tag:folk
Caedmon’s Call,MusicBrainz tag:folk
Catie Curtis,MusicBrainz tag:folk
Alison Krauss & Union Station,MusicBrainz tag:folk
Steve Riley and the Mamou Playboys,MusicBrainz tag:folk
Béla Fleck and the Flecktones,MusicBrainz tag:folk
The Highwaymen,MusicBrainz tag:folk
Carrie Newcomer,MusicBrainz tag:folk
Colbie Caillat,MusicBrainz tag:folk
Clint Black,MusicBrainz tag:folk
Terry Scott Taylor,MusicBrainz tag:folk
Pearls Before Swine,MusicBrainz tag:folk
Darrell Scott,MusicBrainz tag:folk
Storyhill,MusicBrainz tag:folk
Jonatha Brooke,MusicBrainz tag:folk
Cheryl Wheeler,MusicBrainz tag:folk
David Olney,MusicBrainz tag:folk
John Gorka,MusicBrainz tag:folk
Rodriguez,MusicBrainz tag:folk
Rasputina,MusicBrainz tag:folk
Robert Earl Keen,MusicBrainz tag:folk
Peter Broderick,MusicBrainz tag:folk
Hem,MusicBrainz tag:folk
Don Henley,MusicBrainz tag:folk
The Nashville Bluegrass Band,MusicBrainz tag:folk
Terry Callier,MusicBrainz tag:folk
Jesse Winchester,MusicBrainz tag:folk
The Subdudes,MusicBrainz tag:folk
Shel Silverstein,MusicBrainz tag:folk
The Fugs,MusicBrainz tag:folk
Akron/Family,MusicBrainz tag:folk
The Civil Wars,MusicBrainz tag:folk
Gogol Bordello,MusicBrainz tag:folk
Si Kahn,MusicBrainz tag:folk
Anne Hills,MusicBrainz tag:folk
She & Him,MusicBrainz tag:folk
Jack Rose,MusicBrainz tag:folk
Tony Trischka,MusicBrainz tag:folk
Jenny Owen Youngs,MusicBrainz tag:folk
Old & In the Way,MusicBrainz tag:folk
Ben Harper & The Innocent Criminals,MusicBrainz tag:folk
Jolie Holland,MusicBrainz tag:folk
Country Gazette,MusicBrainz tag:folk
Guy Davis,MusicBrainz tag:folk
Adrianne Lenker,MusicBrainz tag:folk
Conor Oberst,MusicBrainz tag:folk
Xasthur,MusicBrainz tag:folk
Grizzly Bear,MusicBrainz tag:folk
SYML,MusicBrainz tag:folk
Cherish the Ladies,MusicBrainz tag:folk
William Tyler,MusicBrainz tag:folk
Ed McCurdy,MusicBrainz tag:folk
Sara K.,MusicBrainz tag:folk
Anal Cunt,MusicBrainz tag:folk
Asylum Street Spankers,MusicBrainz tag:folk
Trampled by Turtles,MusicBrainz tag:folk
Tyrone Wells,MusicBrainz tag:folk
Levon Helm,MusicBrainz tag:folk
Old Crow Medicine Show,MusicBrainz tag:folk
Scott McKenzie,MusicBrainz tag:folk
The Gaslight Anthem,MusicBrainz tag:folk
Chris Thile,MusicBrainz tag:folk
Chelsea Wolfe,MusicBrainz tag:folk
Anita Carter,MusicBrainz tag:folk
Solas,MusicBrainz tag:folk
Neko Case,MusicBrainz tag:folk
Gracie Abrams,MusicBrainz tag:folk
Hot Club of Cowtown,MusicBrainz tag:folk
New Grass Revival,MusicBrainz tag:folk
Anaïs Mitchell,MusicBrainz tag:folk
David Bromberg,MusicBrainz tag:folk
Maggie Sansone,MusicBrainz tag:folk
The Innocence Mission,MusicBrainz tag:folk
Rhonda Vincent,MusicBrainz tag:folk
American Authors,MusicBrainz tag:folk
Vienna Teng,MusicBrainz tag:folk
Vetiver,MusicBrainz tag:folk
Roky Erickson,MusicBrainz tag:folk
Barbara Dane,MusicBrainz tag:folk
Kris Delmhorst,MusicBrainz tag:folk
Chuck Ragan,MusicBrainz tag:folk
Josephine Foster,MusicBrainz tag:folk
John Craigie,MusicBrainz tag:folk
Leon Redbone,MusicBrainz tag:folk
Shawn Mullins,MusicBrainz tag:folk
Lori McKenna,MusicBrainz tag:folk
Kate Campbell,MusicBrainz tag:folk
Panopticon,MusicBrainz tag:folk
The Wallflowers,MusicBrainz tag:folk
Six Organs of Admittance,MusicBrainz tag:folk
Mike Posner,MusicBrainz tag:folk
Lord Huron,MusicBrainz tag:folk
The Flatlanders,MusicBrainz tag:folk
Wovenhand,MusicBrainz tag:folk
John Grant,MusicBrainz tag:folk
Trout Fishing in America,MusicBrainz tag:folk
Terry Allen,MusicBrainz tag:folk
Beth Nielsen Chapman,MusicBrainz tag:folk
Patty Loveless,MusicBrainz tag:folk
The Slambovian Circus of Dreams,MusicBrainz tag:folk
Mitski,MusicBrainz tag:folk
Pieta Brown,MusicBrainz tag:folk
Patty Larkin,MusicBrainz tag:folk
Jim James,MusicBrainz tag:folk
Mindy Smith,MusicBrainz tag:folk
IIIrd Tyme Out,MusicBrainz tag:folk
Josh Garrels,MusicBrainz tag:folk
Phosphorescent,MusicBrainz tag:folk
Edie Brickell,MusicBrainz tag:folk
Sara Hickman,MusicBrainz tag:folk
Kim Richey,MusicBrainz tag:folk
Ben Vaughn,MusicBrainz tag:folk
Slightly Stoopid,MusicBrainz tag:folk
The Books,MusicBrainz tag:folk
Iris DeMent,MusicBrainz tag:folk
Jimmy Driftwood,MusicBrainz tag:folk
Martin Sexton,MusicBrainz tag:folk
Mischief Brew,MusicBrainz tag:folk
Bob Brozman,MusicBrainz tag:folk
Karla Bonoff,MusicBrainz tag:folk
Rosalie Sorrels,MusicBrainz tag:folk
Pam Tillis,MusicBrainz tag:folk
The Kennedys,MusicBrainz tag:folk
Kaleidoscope,MusicBrainz tag:folk
Sam Phillips,MusicBrainz tag:folk
Chris Hillman,MusicBrainz tag:folk
King Dude,MusicBrainz tag:folk
Clairo,MusicBrainz tag:folk
Country Joe and the Fish,MusicBrainz tag:folk
The David Grisman Quintet,MusicBrainz tag:folk
Nina Nastasia,MusicBrainz tag:folk
American Music Club,MusicBrainz tag:folk
Rising Appalachia,MusicBrainz tag:folk
Virtual Bird,MusicBrainz tag:folk
Rachael Sage,MusicBrainz tag:folk
Darden Smith,MusicBrainz tag:folk
Lou & Peter Berryman,MusicBrainz tag:folk
Jeffrey Foucault,MusicBrainz tag:folk
Ben Sollee,MusicBrainz tag:folk
Kimmie Rhodes,MusicBrainz tag:folk
Johanna Warren,MusicBrainz tag:folk
Kurt Vile,MusicBrainz tag:folk
Kevin Morby,MusicBrainz tag:folk
Mary Gauthier,MusicBrainz tag:folk
Jorma Kaukonen,MusicBrainz tag:folk
Chuck Johnson,MusicBrainz tag:folk
Ann Wilson,MusicBrainz tag:folk
Dan Crary,MusicBrainz tag:folk
Nathaniel Rateliff & The Night Sweats,MusicBrainz tag:folk
Jeffrey Lewis,MusicBrainz tag:folk
Allison Moorer,MusicBrainz tag:folk
Bruce Springsteen,MusicBrainz tag:americana
Johnny Cash,MusicBrainz tag:americana
Wilco,MusicBrainz tag:americana
Taylor Swift,MusicBrainz tag:americana
Lana Del Rey,MusicBrainz tag:americana
Joan Baez,MusicBrainz tag:americana
Tom Waits,MusicBrainz tag:americana
Lady Gaga,MusicBrainz tag:americana
Ryan Adams,MusicBrainz tag:americana
Philip Glass,MusicBrainz tag:americana
Lynyrd Skynyrd,MusicBrainz tag:americana
John Mellencamp,MusicBrainz tag:americana
Beyoncé,MusicBrainz tag:americana
Kris Kristofferson,MusicBrainz tag:americana
Charles Ives,MusicBrainz tag:americana
Norah Jones,MusicBrainz tag:americana
Emmylou Harris,MusicBrainz tag:americana
Sheryl Crow,MusicBrainz tag:americana
Calexico,MusicBrainz tag:americana
Steve Earle,MusicBrainz tag:americana
Randy Newman,MusicBrainz tag:americana
Townes Van Zandt,MusicBrainz tag:americana
Lucinda Williams,MusicBrainz tag:americana
Counting Crows,MusicBrainz tag:americana
The Dead,MusicBrainz tag:americana
David Allan Coe,MusicBrainz tag:americana
Ry Cooder,MusicBrainz tag:americana
Bonnie “Prince” Billy,MusicBrainz tag:americana
The National,MusicBrainz tag:americana
Todd Snider,MusicBrainz tag:americana
Bill Monroe,MusicBrainz tag:americana
"10,000 Maniacs",MusicBrainz tag:americana
Hiss Golden Messenger,MusicBrainz tag:americana
Son Volt,MusicBrainz tag:americana
John Mayer,MusicBrainz tag:americana
Brandi Carlile,MusicBrainz tag:americana
Kacey Musgraves,MusicBrainz tag:americana
Hootie & the Blowfish,MusicBrainz tag:americana
