variable,p_value,n_obs,n_groups
complexity,0,26358,6
repetition,0,26358,6
playability,0,26358,6
harmonic_palette,6.83243310827e-38,26358,6
structure_variation,1.0683355736e-209,26358,6
billboard_country_year_end_flag,2.77853620800e-95,26363,6
release_upload_gap,0,26363,6
