release_decade,genre_country,genre_rock,genre_pop,genre_folk,genre_hiphop,genre_rbsoul
1940,.76190478,.079365082,.015873017,.047619049,0,0
1950,.62699825,.15275311,.10301954,.012433393,0,.019538188
1960,.59224939,.10657119,.13563606,.076242626,.00084245997,.0075821397
1970,.64079368,.18179165,.04318646,.070323899,0,.0061278087
1980,.6831131,.15212922,.067254037,.045521293,.00029368576,.0032305433
1990,.69426554,.14213431,.059337627,.048298068,.0003066544,.0072063785
2000,.65816891,.16680966,.053315356,.0558892,.00098051236,.0040446133
2010,.6549868,.15788919,.060369395,.039155673,.013720317,.0074934037
2020,.6551528,.12039801,.058422174,.021606255,.022743426,.0034115138
