musicbrainz_mbid,mb_birth_date,mb_birth_year,mb_birth_city,mb_birth_county,mb_birth_state,mb_birth_country
ea483cd9-ff70-456d-8874-b826931b6e99,1995-07-31,1995.0,,,,
30fb2ca9-28b8-4ed3-b075-1b8ebe7dd0c5,1994-05-23,1994.0,,,,
ff30e98c-75da-4e92-819e-31670eba8bd6,,,,,,
5f549372-3e08-42aa-ad67-0d3c60e1b86d,2009-01-01,2009.0,,,,United States
faabb55d-3c9e-4c23-8779-732ac2ee2c0d,1965-08-28,1965.0,,,,
0f0aa25b-e6ea-4701-aab8-f9e52b3968f3,1993-03-22,1993.0,,,,
81551a7a-7cae-46ad-a785-3468f8f4eadc,1995-09-25,1995.0,,,,
133fd324-e2f8-4272-973b-30ac6a943d0f,,,,,,
507226f4-0842-4f43-950e-81a7017230ec,2000-01-01,2000.0,,,,United States
be96eda1-7e36-44f6-affe-80780400fae0,1959-01-01,1959.0,,,,United States
8e62c71f-7bd8-418f-8c63-a0b2597e23da,1959-01-01,1959.0,,,,
43e088bd-2520-4a84-bb8e-827c86d2cf84,2006-01-01,2006.0,,,,United States
140e9563-f6ca-4545-8b6e-384eb6d3cef2,2014-01-01,2014.0,,,,United States
c0171478-1e95-4b19-98d6-b4cc6770365f,1972-01-01,1972.0,,,,United States
e2f526c6-09ed-4ef3-aa05-452eb12ff192,1986-09-06,1986.0,,,,
d24310f4-64fd-442b-8b3e-11d4f94ff9f3,1995-12-20,1995.0,,,,
407592bd-6b6e-4803-80fd-f17e59446734,1992-01-01,1992.0,,,,United States
3ca374f1-66b4-43c5-a61a-5f65f0ed7bb1,1972-07-21,1972.0,,,,
33cf3954-10af-4dcb-985f-9420d1fa4168,2012-12-01,2012.0,,,,United States
26153021-5c06-403d-b8a9-2f06f19090c1,,,,,,United States
c0b6ccb6-fb87-4594-98fb-370120d2b6e8,1974-01-01,1974.0,,,,United States
71901c51-f0cb-4bbb-ba41-337f26234556,1980-09-11,1980.0,,,,
babbf1e4-aac3-4338-a554-c3d48cf20034,1986-11-21,1986.0,,,,
63e504fd-dda5-431f-a553-973b291e8191,2008-06-01,2008.0,,,,United States
15843a2d-55a6-4849-b333-42508a60a23a,,,,,,United States
1dff5d68-4ca8-4284-a181-b015e9a30cec,1993-03-29,1993.0,,,,United States
4a8ae4fd-ad6f-4912-851f-093f12ee3572,,,,,,United States
61f322a2-c293-4b25-8e5f-bd00611668d0,1989-05-12,1989.0,,,,United States
71b29def-bf79-4a06-bb1f-7210d505805c,1938-05-13,1938.0,,,,
bc8f68a3-9f43-491f-93a0-b8c19d801a27,1956-01-01,1956.0,,,,United States
4165a914-889f-415c-b355-1462457a026c,2005-01-01,2005.0,,,,
ce4217a5-e713-47d2-a10c-c6286753f384,1996-01-01,1996.0,,,,United States
c16817df-0160-490d-a437-c128cbca9218,2010-01-01,2010.0,,,,United States
cf8b6ab7-e1e1-44e5-8a1d-f45f6896a9b4,2016-01-01,2016.0,,,,United States
4f7a0bb9-d251-4fa3-a4bf-ebd6c9c4710f,1981-06-09,1981.0,,,,
5c846321-b4ec-4e55-9bce-1a5636f52fc5,1978-04-19,1978.0,,,,
43858c0d-b309-4459-b6d9-c590810620af,,,,,,
077f78ec-54db-4487-b572-e8b555a5b241,1972-10-27,1972.0,,,,
8077aea3-4b19-4c89-b6b0-4d92c4017278,1990-01-01,1990.0,,,,United States
a793f852-573b-4c2f-85be-bd5a1efc41c2,1984-12-31,1984.0,,,,
72359492-22be-4ed9-aaa0-efa434fb2b01,1969-03-26,1969.0,,,,United States
442033f6-fa93-4ced-84a7-52f45617a15d,2000-01-01,2000.0,,,,United States
4cd93c63-911b-403b-b832-b4018369ee04,2010-01-01,2010.0,,,,United States
