artist_id,name_primary,source_role,source_name,evidence_urls
artist_000013,Frank Ray,primary,Wikidata,https://www.wikidata.org/wiki/Q110852636|https://en.wikipedia.org/wiki/Frank_Ray|https://musicbrainz.org/artist/dcdd2492-efd1-415d-a5f0-6e7db74698d4
artist_000013,Frank Ray,seed,Category:American country singers,https://www.wikidata.org/wiki/Q110852636|https://en.wikipedia.org/wiki/Frank_Ray|https://musicbrainz.org/artist/dcdd2492-efd1-415d-a5f0-6e7db74698d4
artist_000014,Jackson Dean,primary,Wikidata,https://www.wikidata.org/wiki/Q111660058|https://en.wikipedia.org/wiki/Jackson_Dean|https://musicbrainz.org/artist/9ebfcbb6-86c1-4f17-b47f-135cc132e477
artist_000014,Jackson Dean,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q111660058|https://en.wikipedia.org/wiki/Jackson_Dean|https://musicbrainz.org/artist/9ebfcbb6-86c1-4f17-b47f-135cc132e477
artist_000015,Bailey Zimmerman,primary,Wikidata,https://www.wikidata.org/wiki/Q112581616|https://en.wikipedia.org/wiki/Bailey_Zimmerman|https://musicbrainz.org/artist/20543896-ec2c-48c4-b6b2-507c6cbe9918
artist_000015,Bailey Zimmerman,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q112581616|https://en.wikipedia.org/wiki/Bailey_Zimmerman|https://musicbrainz.org/artist/20543896-ec2c-48c4-b6b2-507c6cbe9918
artist_000016,Conner Smith,primary,Wikidata,https://www.wikidata.org/wiki/Q112613597|https://en.wikipedia.org/wiki/Conner_Smith|https://musicbrainz.org/artist/616d0491-00ff-47f4-bfd7-a5a005d2566a
artist_000016,Conner Smith,seed,Category:American country singer-songwriters|Category:Country musicians from Tennessee,https://www.wikidata.org/wiki/Q112613597|https://en.wikipedia.org/wiki/Conner_Smith|https://musicbrainz.org/artist/616d0491-00ff-47f4-bfd7-a5a005d2566a
artist_000017,Corey Kent,primary,Wikidata,https://www.wikidata.org/wiki/Q113452679|https://en.wikipedia.org/wiki/Corey_Kent|https://musicbrainz.org/artist/c59c787f-75cf-405b-b4f0-8445f730bcbe
artist_000017,Corey Kent,seed,Category:American country singer-songwriters|Category:American country singers|Category:Country musicians from Oklahoma,https://www.wikidata.org/wiki/Q113452679|https://en.wikipedia.org/wiki/Corey_Kent|https://musicbrainz.org/artist/c59c787f-75cf-405b-b4f0-8445f730bcbe
artist_000018,Dave Alvin,primary,Wikidata,https://www.wikidata.org/wiki/Q1173086|https://en.wikipedia.org/wiki/Dave_Alvin|https://musicbrainz.org/artist/306ebc54-d11c-4bf4-9f37-27adc37d00b4
artist_000018,Dave Alvin,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q1173086|https://en.wikipedia.org/wiki/Dave_Alvin|https://musicbrainz.org/artist/306ebc54-d11c-4bf4-9f37-27adc37d00b4
artist_000019,David Kersh,primary,Wikidata,https://www.wikidata.org/wiki/Q1174970|https://en.wikipedia.org/wiki/David_Kersh|https://musicbrainz.org/artist/b3f194b6-e2da-4662-abb3-561b255db4b4
artist_000019,David Kersh,seed,Category:American country singer-songwriters|Category:Country musicians from Texas,https://www.wikidata.org/wiki/Q1174970|https://en.wikipedia.org/wiki/David_Kersh|https://musicbrainz.org/artist/b3f194b6-e2da-4662-abb3-561b255db4b4
artist_000020,Billy Byrd,primary,Wikidata,https://www.wikidata.org/wiki/Q11854248|https://en.wikipedia.org/wiki/Billy_Byrd|https://musicbrainz.org/artist/8c063c20-d5fe-4d7b-b953-d5bcbf901150
artist_000020,Billy Byrd,seed,Category:American country singer-songwriters|Category:Country musicians from Tennessee,https://www.wikidata.org/wiki/Q11854248|https://en.wikipedia.org/wiki/Billy_Byrd|https://musicbrainz.org/artist/8c063c20-d5fe-4d7b-b953-d5bcbf901150
artist_000021,Coleman Williams,primary,Wikidata,https://www.wikidata.org/wiki/Q118727718|https://en.wikipedia.org/wiki/Coleman_Williams|https://musicbrainz.org/artist/0e94571b-66f0-4443-90a2-e89b1f5e7dec
artist_000021,Coleman Williams,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q118727718|https://en.wikipedia.org/wiki/Coleman_Williams|https://musicbrainz.org/artist/0e94571b-66f0-4443-90a2-e89b1f5e7dec
artist_000022,Montgomery Gentry,primary,Wikidata,https://www.wikidata.org/wiki/Q1190454|https://en.wikipedia.org/wiki/Montgomery_Gentry|https://musicbrainz.org/artist/d39f9276-32c1-4b84-9389-d77dbc3801ae
artist_000022,Montgomery Gentry,seed,Category:American country singer-songwriters|Category:Country musicians from Kentucky,https://www.wikidata.org/wiki/Q1190454|https://en.wikipedia.org/wiki/Montgomery_Gentry|https://musicbrainz.org/artist/d39f9276-32c1-4b84-9389-d77dbc3801ae
artist_000023,Kylie Morgan,primary,Wikidata,https://www.wikidata.org/wiki/Q119294575|https://en.wikipedia.org/wiki/Kylie_Morgan|https://musicbrainz.org/artist/add67eec-6441-4400-aa38-05a94041828f
artist_000023,Kylie Morgan,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q119294575|https://en.wikipedia.org/wiki/Kylie_Morgan|https://musicbrainz.org/artist/add67eec-6441-4400-aa38-05a94041828f
artist_000024,Slim Lehart,primary,Wikidata,https://www.wikidata.org/wiki/Q119294703|https://en.wikipedia.org/wiki/Slim_Lehart|https://musicbrainz.org/artist/bb9676e0-e718-421f-8bc1-05e3b1aacb92
artist_000024,Slim Lehart,seed,Category:American country singers,https://www.wikidata.org/wiki/Q119294703|https://en.wikipedia.org/wiki/Slim_Lehart|https://musicbrainz.org/artist/bb9676e0-e718-421f-8bc1-05e3b1aacb92
