artist_id,name_primary,birth_name,stage_name,aliases,wikidata_qid,musicbrainz_mbid,isni,viaf_id,wikipedia_url,birth_date,birth_year,birth_place_raw,birth_city,birth_county,birth_state,birth_state_abbr,birth_country,death_date,death_year,death_place_raw,citizenship,occupations,genres_raw,genres_normalized,country_relevance_score,instruments,member_of,record_labels,awards,official_website,birth_decade,us_macro_region,is_deceased,age_or_age_at_death,is_us_born,is_solo_person,is_country_core,is_country_broad,flag_restricted_sample,flag_expanded_sample,sample_membership,inclusion_reason,exclusion_reason,source_primary,source_secondary,source_seed,evidence_urls,source_count,birth_date_confidence,birth_place_confidence,genre_confidence,manual_review_needed,notes,name_key,in_songfile,in_country_restricted,in_country_master,in_adjacent_seed_pool,source_membership_count,artist_name_songfile_example,adjacent_genre_bucket,adjacent_source_group,core_union_flag
artist_000012,Dave Van Ronk,,,David Kenneth Ritz Van Ronk,Q1173376,c07a8ae5-3322-482f-9bfe-27448a2cf593,0000000055150736,72735552,https://en.wikipedia.org/wiki/Dave_Van_Ronk,1936-06-30,1936.0,Brooklyn,Brooklyn,,New York,NY,United States,2002-02-10,2002.0,Manhattan,United States,composer|singer|guitarist|musician|jazz musician|trade unionist|recording artist,folk music|blues|country blues|ragtime,country,0.6,guitar|voice|piano,Socialist Equality Party|Libertarian Book Club and League|Industrial Workers of the World,Fast Folk|Folkways Records,"World Folk Music Association|American Society of Composers, Authors and Publishers",,1930.0,Northeast,1,65.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json|MusicBrainz tag:folk,https://www.wikidata.org/wiki/Q1173376|https://en.wikipedia.org/wiki/Dave_Van_Ronk|https://musicbrainz.org/artist/c07a8ae5-3322-482f-9bfe-27448a2cf593,3,high,high,medium,0,,dave van ronk,0,0,0,1,1,,folk,seed_country_artists.json|MusicBrainz tag:folk,0
artist_000013,Megan Moroney,,,Megan Ann Moroney,Q116786312,9eb2030a-c311-4cbf-a8f2-c57a58aa18ce,,9346170351483264900000,https://en.wikipedia.org/wiki/Megan_Moroney,1997-10-09,1997.0,Savannah,Savannah,,Georgia,GA,United States,,,,United States,singer,country music|folk music,country,0.6,voice,,,,https://www.meganmoroney.com/,1990.0,South,0,28.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json|MusicBrainz tag:outlaw country,https://www.wikidata.org/wiki/Q116786312|https://en.wikipedia.org/wiki/Megan_Moroney|https://musicbrainz.org/artist/9eb2030a-c311-4cbf-a8f2-c57a58aa18ce,3,high,high,medium,0,,megan moroney,0,0,0,1,1,,outlaw country,seed_country_artists.json|MusicBrainz tag:outlaw country,0
artist_000014,Dege Legg,David John Legg,Dege Legg,Brother Dege|Brother Dege Legg,Q121423115,c33bad43-1d00-48ad-850f-5585e3f583cd,,,https://en.wikipedia.org/wiki/Brother_Dege,1967-06-08,1967.0,"Lafayette , Louisiana",Lafayette,,Louisiana,LA,United States,2024-03-08,2024.0,Lafayette,United States,musician,Delta blues|folk music|rock music|country music|Delta blues,country,0.6,,,,,https://brotherdege.net/,1960.0,South,1,56.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json|MusicBrainz tag:americana,https://www.wikidata.org/wiki/Q121423115|https://en.wikipedia.org/wiki/Brother_Dege|https://musicbrainz.org/artist/c33bad43-1d00-48ad-850f-5585e3f583cd,3,high,high,medium,0,,dege legg,0,0,0,1,1,,americana,seed_country_artists.json|MusicBrainz tag:americana,0
artist_000015,Tiera Kennedy,Tiera Leftwich,Tiera Kennedy,,Q125427943,11f77826-96f9-4c4e-933a-0ab0fe43018f,,,https://en.wikipedia.org/wiki/Tiera_Kennedy,1998-07-24,1998.0,"Gardendale, Alabama , United States",Gardendale,,Alabama,AL,United States,,,,,singer,folk music|Country|R&B,country,0.6,voice,,,,,1990.0,South,0,27.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json|MusicBrainz tag:americana|MusicBrainz tag:outlaw country,https://www.wikidata.org/wiki/Q125427943|https://en.wikipedia.org/wiki/Tiera_Kennedy|https://musicbrainz.org/artist/11f77826-96f9-4c4e-933a-0ab0fe43018f,3,high,high,medium,0,,tiera kennedy,0,0,0,1,1,,outlaw country,seed_country_artists.json|MusicBrainz tag:americana|MusicBrainz tag:outlaw country,0
artist_000016,Jimmy Webb,Jimmy Layne Webb,Jimmy Webb,Jim Webb|James Layne Webb|Jimmy Layne Webb|Jimmy L. Webb,Q1287983,04e296d1-ab98-46e9-ba88-a42b5024e518,0000000081127265,33636158,https://en.wikipedia.org/wiki/Jimmy_Webb,1946-08-15,1946.0,"Elk City, Oklahoma , United States",Elk City,,Oklahoma,OK,United States,,,,United States,singer-songwriter|composer|songwriter|pianist|film score composer|recording artist|record producer,country music|Pop|| country|| rock,country,0.6,piano,,Epic Records,Johnny Mercer Award|Oklahoma Music Hall of Fame,http://www.jimmywebb.com/,1940.0,South,0,79.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json,https://www.wikidata.org/wiki/Q1287983|https://en.wikipedia.org/wiki/Jimmy_Webb|https://musicbrainz.org/artist/04e296d1-ab98-46e9-ba88-a42b5024e518,3,high,high,medium,0,,jimmy webb,0,0,0,1,1,,other_adjacent,seed_country_artists.json,0
artist_000017,Speedy West,Wesley Webb West,Speedy West,Wesley Webb West,Q1351286,bd9f96c7-813f-4515-ae3a-a9ec906dffea,0000000055520784,41022377,https://en.wikipedia.org/wiki/Speedy_West,1924-01-25,1924.0,"Springfield, Missouri United States",Springfield,,Missouri,MO,United States,2003-11-15,2003.0,Oklahoma,United States,musician|guitarist,country music|Country music,country,0.6,guitar,,Capitol Records,,,1920.0,Midwest,1,79.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json,https://www.wikidata.org/wiki/Q1351286|https://en.wikipedia.org/wiki/Speedy_West|https://musicbrainz.org/artist/bd9f96c7-813f-4515-ae3a-a9ec906dffea,3,high,high,medium,0,,speedy west,0,0,0,1,1,,other_adjacent,seed_country_artists.json,0
artist_000018,Tom Paxton,Thomas Richard Paxton,Pax Thompson,Thomas Richard Paxton|Pax Thompson,Q1351527,1880815f-5f43-4eba-9038-96ba0380134d,0000000120331366,117275789,https://en.wikipedia.org/wiki/Tom_Paxton,1937-10-31,1937.0,"Chicago , Illinois , United States",Chicago,,Illinois,IL,United States,,,,United States,singer-songwriter|singer|guitarist|writer|environmentalist,folk music|country music|Folk,country,0.6,guitar|voice,,Elektra|Fast Folk,Grammy Lifetime Achievement Award|Oklahoma Music Hall of Fame,http://www.tompaxton.com/,1930.0,Midwest,0,88.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json|MusicBrainz tag:folk,https://www.wikidata.org/wiki/Q1351527|https://en.wikipedia.org/wiki/Tom_Paxton|https://musicbrainz.org/artist/1880815f-5f43-4eba-9038-96ba0380134d,3,high,high,medium,0,,tom paxton,0,0,0,1,1,,folk,seed_country_artists.json|MusicBrainz tag:folk,0
artist_000020,Furry Lewis,Walter E. Lewis,Furry Lewis,"Walter E. ""Furry"" Lewis|Walter E. Lewis|Walter Lewis",Q1475124,56cc74c7-6a8c-42a4-87a1-59d6963b2c1f,0000000059249936,392149294334580521964,https://en.wikipedia.org/wiki/Furry_Lewis,1893-03-06,1893.0,"or 1899 Greenwood, Mississippi , United States",or 1899 Greenwood,,Mississippi,MS,United States,1981-09-14,1981.0,Memphis,United States,singer-songwriter|street artist|musician|guitarist,blues|Delta blues|country blues,country,0.6,guitar,,Folkways Records|Fat Possum Records|Vocalion Records,,,1890.0,South,1,88.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json|MusicBrainz tag:outlaw country,https://www.wikidata.org/wiki/Q1475124|https://en.wikipedia.org/wiki/Furry_Lewis|https://musicbrainz.org/artist/56cc74c7-6a8c-42a4-87a1-59d6963b2c1f,3,high,high,medium,0,,furry lewis,0,0,0,1,1,,outlaw country,seed_country_artists.json|MusicBrainz tag:outlaw country,0
artist_000021,Janis Joplin,Janis Lyn Joplin,,Pearl|the Pearl,Q1514,76c9a186-75bd-436a-85c0-823e3efddb7f,0000000080869937,7574301,https://en.wikipedia.org/wiki/Janis_Joplin,1943-01-19,1943.0,"Port Arthur, Texas , United States",Port Arthur,,Texas,TX,United States,1970-10-04,1970.0,Los Angeles,United States,singer|singer-songwriter|composer|guitarist|recording artist|musician,psychedelic rock|blues|blues rock|soul|acid rock|hard rock|folk music|country music|Psychedelic rock|blues rock|soul|blues,country,0.6,guitar|voice,,Columbia Records|Mainstream Records,Grammy Lifetime Achievement Award|Rock and Roll Hall of Fame|star on Hollywood Walk of Fame,https://www.janisjoplin.com/,1940.0,South,1,27.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Wikidata genre query,https://www.wikidata.org/wiki/Q1514|https://en.wikipedia.org/wiki/Janis_Joplin|https://musicbrainz.org/artist/76c9a186-75bd-436a-85c0-823e3efddb7f,3,high,high,medium,0,,janis joplin,0,0,0,1,1,,folk,Wikidata genre query,0
artist_000022,Kevin Morby,Kevin Robert Morby,Kevin Morby,,Q15615094,eac962e1-0295-4e69-a266-4dab2adb4f11,0000000444203192,312881931,https://en.wikipedia.org/wiki/Kevin_Morby,1988-04-02,1988.0,"Lubbock, Texas , United States",Lubbock,,Texas,TX,United States,,,,United States,singer-songwriter|guitarist|bass guitarist|composer,indie rock|alternative country|Indie rock|| folk rock,country,0.6,guitar|voice,,Woodsist|Dead Oceans,,http://kevinmorby.com,1980.0,South,0,38.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json|MusicBrainz tag:folk,https://www.wikidata.org/wiki/Q15615094|https://en.wikipedia.org/wiki/Kevin_Morby|https://musicbrainz.org/artist/eac962e1-0295-4e69-a266-4dab2adb4f11,3,high,high,medium,0,,kevin morby,0,0,0,1,1,,folk,seed_country_artists.json|MusicBrainz tag:folk,0
